Study,Study type,Author position,Demographic,Demographic category,Rejected,Went through to next stage,% rejected,Year,Category,Subcategory,Journal impact factor,Stage,Notes
McGillivray and De Ranieri (2018),Observational,Corresponding,Continent,North America,20290,2630,88.52530541,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Continent,Oceania,1695,166,91.08006448,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,ESL_all,English_all,28237,3531,88.88504155,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,ESL_all,ESL_all,30105,2376,92.68495428,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,ESL_similarHDI,English_similarHDI,27224,3513,88.57077789,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,ESL_similarHDI,ESL_similarHDI,20119,1973,91.06916531,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Gender,Z_Female,11076,979,91.87888843,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Gender,Male,43855,4661,90.39286009,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Nature Neuroscience (2006),Observational,Corresponding,Gender,Z_Female,82,10,89.1,2005,Health sciences,Health sciences,15.456,Overall decision,
Nature Neuroscience (2006),Observational,Corresponding,Gender,Male,315,42,88.2,2005,Health sciences,Health sciences,15.456,Overall decision,
O'Connor et al. (2017),Observational,Corresponding,Continent,Asia,253,61,80.57324841,2015,Health sciences,Health sciences,3.124,Overall decision,"The entire journal is double-blind. They also surveyed reviewers to see how often they could correctly identify authors, which occurred in 12.9% of articles. "
O'Connor et al. (2017),Observational,Corresponding,Continent,Europe,229,105,68.56287425,2015,Health sciences,Health sciences,3.124,Overall decision,"The entire journal is double-blind. They also surveyed reviewers to see how often they could correctly identify authors, which occurred in 12.9% of articles. "
O'Connor et al. (2017),Observational,Corresponding,Continent,Latin America,5,3,62.5,2015,Health sciences,Health sciences,3.124,Overall decision,"The entire journal is double-blind. They also surveyed reviewers to see how often they could correctly identify authors, which occurred in 12.9% of articles. "
O'Connor et al. (2017),Observational,Corresponding,Continent,North America,226,135,62.60387812,2015,Health sciences,Health sciences,3.124,Overall decision,"The entire journal is double-blind. They also surveyed reviewers to see how often they could correctly identify authors, which occurred in 12.9% of articles. "
O'Connor et al. (2017),Observational,Corresponding,Continent,Oceania,14,6,70,2015,Health sciences,Health sciences,3.124,Overall decision,"The entire journal is double-blind. They also surveyed reviewers to see how often they could correctly identify authors, which occurred in 12.9% of articles. "
O'Connor et al. (2017),Observational,Corresponding,ESL_all,ESL_all,69,22,75.82417582,2015,Health sciences,Health sciences,3.124,Overall decision,"The entire journal is double-blind. They also surveyed reviewers to see how often they could correctly identify authors, which occurred in 12.9% of articles. This only includes the United States (English) and China (ESL). "
O'Connor et al. (2017),Observational,Corresponding,ESL_all,English_all,226,135,62.60387812,2015,Health sciences,Health sciences,3.124,Overall decision,"The entire journal is double-blind. They also surveyed reviewers to see how often they could correctly identify authors, which occurred in 12.9% of articles. This only includes the United States (English) and China (ESL). "
Primack and Zipf (2016),Observational,Corresponding,Continent,Asia,909,84,91.5407855,2009.5,Life sciences,Ecology & Evolution,3.333,Overall decision,We emailed the author to confirm if they used corresponding author because it was not indicated in the article. They were not completely sure but thought it was corresponding because their other articles used corresponding. 
Primack and Zipf (2016),Observational,Corresponding,Continent,Europe,2028,756,72.84482759,2009.5,Life sciences,Ecology & Evolution,3.333,Overall decision,We emailed the author to confirm if they used corresponding author because it was not indicated in the article. They were not completely sure but thought it was corresponding because their other articles used corresponding. 
Primack and Zipf (2016),Observational,Corresponding,Continent,Latin America,422,77,84.56913828,2009.5,Life sciences,Ecology & Evolution,3.333,Overall decision,We emailed the author to confirm if they used corresponding author because it was not indicated in the article. They were not completely sure but thought it was corresponding because their other articles used corresponding. 
Primack and Zipf (2016),Observational,Corresponding,Continent,North America,2363,1046,69.31651511,2009.5,Life sciences,Ecology & Evolution,3.333,Overall decision,We emailed the author to confirm if they used corresponding author because it was not indicated in the article. They were not completely sure but thought it was corresponding because their other articles used corresponding. 
Primack and Zipf (2016),Observational,Corresponding,Continent,Oceania,872,382,69.53748006,2009.5,Life sciences,Ecology & Evolution,3.333,Overall decision,We emailed the author to confirm if they used corresponding author because it was not indicated in the article. They were not completely sure but thought it was corresponding because their other articles used corresponding. 
Primack and Zipf (2016),Observational,Corresponding,ESL_all,English_all,4300,1838,70.05539264,2009.5,Life sciences,Ecology & Evolution,3.333,Overall decision,We emailed the author to confirm if they used corresponding author because it was not indicated in the article. They were not completely sure but thought it was corresponding because their other articles used corresponding. 
Primack and Zipf (2016),Observational,Corresponding,ESL_all,ESL_all,2294,507,81.89932167,2009.5,Life sciences,Ecology & Evolution,3.333,Overall decision,We emailed the author to confirm if they used corresponding author because it was not indicated in the article. They were not completely sure but thought it was corresponding because their other articles used corresponding. 
Primack and Zipf (2016),Observational,Corresponding,ESL_similarHDI,English_similarHDI,3939,1809,68.52818372,2009.5,Life sciences,Ecology & Evolution,3.333,Overall decision,We emailed the author to confirm if they used corresponding author because it was not indicated in the article. They were not completely sure but thought it was corresponding because their other articles used corresponding. 
Primack and Zipf (2016),Observational,Corresponding,ESL_similarHDI,ESL_similarHDI,1324,375,77.92819305,2009.5,Life sciences,Ecology & Evolution,3.333,Overall decision,We emailed the author to confirm if they used corresponding author because it was not indicated in the article. They were not completely sure but thought it was corresponding because their other articles used corresponding. 
Primack et al. (2009),Observational,Corresponding,Continent,Oceania,246,148,62.43654822,2005.5,Life sciences,Ecology & Evolution,2.718,Overall decision,These numbers are from the data that the authors sent us on 12/30/2021
Primack et al. (2009),Observational,Corresponding,Continent,North America,621,328,65.43730242,2005.5,Life sciences,Ecology & Evolution,2.718,Overall decision,These numbers are from the data that the authors sent us on 12/30/2021
Primack et al. (2009),Observational,Corresponding,Continent,Europe,207,130,61.42433234,2005.5,Life sciences,Ecology & Evolution,2.718,Overall decision,These numbers are from the data that the authors sent us on 12/30/2021
Primack et al. (2009),Observational,Corresponding,Continent,Africa,58,14,80.55555556,2005.5,Life sciences,Ecology & Evolution,2.718,Overall decision,These numbers are from the data that the authors sent us on 12/30/2021
Primack et al. (2009),Observational,Corresponding,Gender,Z_Female,387,199,66.04095563,2005.5,Life sciences,Ecology & Evolution,2.718,Overall decision,These numbers are from the data that the authors sent us on 12/30/2021
Primack et al. (2009),Observational,Corresponding,Gender,Male,721,445,61.83533448,2005.5,Life sciences,Ecology & Evolution,2.718,Overall decision,These numbers are from the data that the authors sent us on 12/30/2021
Tregenza (2002),Observational,First,Continent,Africa,26,7,78.78787879,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
Tregenza (2002),Observational,First,Continent,Asia,117,26,81.81818182,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
Tregenza (2002),Observational,First,Continent,Europe,1006,624,61.71779141,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
Tregenza (2002),Observational,First,Continent,Latin America,33,5,86.84210526,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
Tregenza (2002),Observational,First,Continent,North America,342,210,61.95652174,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
Tregenza (2002),Observational,First,Continent,Oceania,99,56,63.87096774,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
Tregenza (2002),Observational,First,ESL_all,English_all,784,528,59.75609756,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
Tregenza (2002),Observational,First,ESL_all,ESL_all,839,400,67.71589992,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
Tregenza (2002),Observational,First,ESL_similarHDI,English_similarHDI,749,520,59.02285264,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
Tregenza (2002),Observational,First,ESL_similarHDI,ESL_similarHDI,746,374,66.60714286,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
Tregenza (2002),Observational,First,Gender,Male,920,563,62.03641268,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
Tregenza (2002),Observational,First,Gender,Z_Female,311,164,65.47368421,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
Whittaker (2008),Observational,Corresponding,Gender,Male,437,432,50.287687,2006,Life sciences,Ecology & Evolution,2.878,Overall decision,
Whittaker (2008),Observational,Corresponding,Gender,Z_Female,146,125,53.87453875,2006,Life sciences,Ecology & Evolution,2.878,Overall decision,
