Study,Study type,Author position,Demographic,Demographic category,Rejected,Went through to next stage,% rejected,Stage,Year,Category,Subcategory,Journal impact factor,Notes
Santos de Barros et al. (2021),Observational,First,Gender,Male,85,68,55.55555556,Final decision,2019,Life sciences,Other Biological Science,0.573,Journal is double-blind
Santos de Barros et al. (2021),Observational,First,Gender,Z_Female,50,63,44.24778761,Final decision,2019,Life sciences,Other Biological Science,0.573,Journal is double-blind
Edwards et al. (2018),Observational,First,Gender,Z_Female,356,334,51.5942029,Final decision,2014,Life sciences,Ecology & Evolution,3.232,"For this dataset, the final decision total and initial decision not rejected total won't match because we had to use different columns to filter the different stages, and there are a lot of NAs in the final decision column that make this initial total not match the final total. This is a function of this dataset that is unavoidable."
Edwards et al. (2018),Observational,First,Gender,Male,440,471,48.298573,Final decision,2014,Life sciences,Ecology & Evolution,3.232,"For this dataset, the final decision total and initial decision not rejected total won't match because we had to use different columns to filter the different stages, and there are a lot of NAs in the final decision column that make this initial total not match the final total. This is a function of this dataset that is unavoidable."
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,709,811,46.64473684,Final decision,2013,Health sciences,Health sciences,1,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,3599,2536,58.66340668,Final decision,2013,Health sciences,Health sciences,2,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,2494,2438,50.56772101,Final decision,2013,Health sciences,Health sciences,3,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,5775,4357,56.99763127,Final decision,2013,Health sciences,Health sciences,4,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,1465,1373,51.62085976,Final decision,2013,Health sciences,Health sciences,5,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,833,660,55.79370395,Final decision,2013,Health sciences,Health sciences,6,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,334,206,61.85185185,Final decision,2013,Health sciences,Health sciences,7,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,659,522,55.80016935,Final decision,2013,Life sciences,Life sciences,1,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,930,1248,42.69972452,Final decision,2013,Life sciences,Life sciences,2,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,881,1079,44.94897959,Final decision,2013,Life sciences,Life sciences,3,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,520,404,56.27705628,Final decision,2013,Life sciences,Life sciences,4,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,729,735,49.79508197,Final decision,2013,Life sciences,Life sciences,5,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,393,291,57.45614035,Final decision,2013,Life sciences,Life sciences,6,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,48,47,50.52631579,Final decision,2013,Life sciences,Life sciences,7,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,72,23,75.78947368,Final decision,2013,Life sciences,Life sciences,8,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Male,955,899,51.51024811,Final decision,2013,Health sciences,Health sciences,1,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Male,6205,3649,62.96935255,Final decision,2013,Health sciences,Health sciences,2,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Male,3633,3614,50.13108873,Final decision,2013,Health sciences,Health sciences,3,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Male,6674,4943,57.45028837,Final decision,2013,Health sciences,Health sciences,4,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Male,2185,1999,52.22275335,Final decision,2013,Health sciences,Health sciences,5,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Male,1679,1415,54.26632191,Final decision,2013,Health sciences,Health sciences,6,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Male,1008,599,62.72557561,Final decision,2013,Health sciences,Health sciences,7,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Male,1290,1052,55.08112724,Final decision,2013,Life sciences,Life sciences,1,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Male,1595,2195,42.08443272,Final decision,2013,Life sciences,Life sciences,2,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Male,1519,1789,45.91898428,Final decision,2013,Life sciences,Life sciences,3,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Male,608,535,53.19335083,Final decision,2013,Life sciences,Life sciences,4,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Male,779,912,46.06741573,Final decision,2013,Life sciences,Life sciences,5,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Male,319,305,51.12179487,Final decision,2013,Life sciences,Life sciences,6,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Male,42,63,40,Final decision,2013,Life sciences,Life sciences,7,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Male,89,31,74.16666667,Final decision,2013,Life sciences,Life sciences,8,Only using single-blind journals here
Edwards et al. (2018),Observational,Last,Gender,Z_Female,212,183,53.67088608,Final decision,2014,Life sciences,Ecology & Evolution,3.232,"For this dataset, the final decision total and initial decision not rejected total won't match because we had to use different columns to filter the different stages, and there are a lot of NAs in the final decision column that make this initial total not match the final total. This is a function of this dataset that is unavoidable."
Edwards et al. (2018),Observational,Last,Gender,Male,602,624,49.10277325,Final decision,2014,Life sciences,Ecology & Evolution,3.232,"For this dataset, the final decision total and initial decision not rejected total won't match because we had to use different columns to filter the different stages, and there are a lot of NAs in the final decision column that make this initial total not match the final total. This is a function of this dataset that is unavoidable."
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,492,556,46.94656489,Final decision,2013,Health sciences,Health sciences,1,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,2787,1764,61.23928807,Final decision,2013,Health sciences,Health sciences,2,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,1735,1614,51.80650941,Final decision,2013,Health sciences,Health sciences,3,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,4493,3352,57.27214786,Final decision,2013,Health sciences,Health sciences,4,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,1088,1029,51.39348134,Final decision,2013,Health sciences,Health sciences,5,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,664,541,55.10373444,Final decision,2013,Health sciences,Health sciences,6,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,288,187,60.63157895,Final decision,2013,Health sciences,Health sciences,7,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,418,345,54.78374836,Final decision,2013,Life sciences,Life sciences,1,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,674,858,43.99477807,Final decision,2013,Life sciences,Life sciences,2,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,616,724,45.97014925,Final decision,2013,Life sciences,Life sciences,3,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,377,299,55.76923077,Final decision,2013,Life sciences,Life sciences,4,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,433,442,49.48571429,Final decision,2013,Life sciences,Life sciences,5,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,289,222,56.55577299,Final decision,2013,Life sciences,Life sciences,6,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,30,37,44.7761194,Final decision,2013,Life sciences,Life sciences,7,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,34,10,77.27272727,Final decision,2013,Life sciences,Life sciences,8,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Male,1110,1121,49.75347378,Final decision,2013,Health sciences,Health sciences,1,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Male,6790,4269,61.39795642,Final decision,2013,Health sciences,Health sciences,2,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Male,4191,4328,49.19591501,Final decision,2013,Health sciences,Health sciences,3,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Male,7576,5710,57.02242963,Final decision,2013,Health sciences,Health sciences,4,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Male,2475,2241,52.48091603,Final decision,2013,Health sciences,Health sciences,5,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Male,1802,1513,54.35897436,Final decision,2013,Health sciences,Health sciences,6,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Male,979,565,63.40673575,Final decision,2013,Health sciences,Health sciences,7,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Male,1329,1145,53.71867421,Final decision,2013,Life sciences,Life sciences,1,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Male,1664,2462,40.32961706,Final decision,2013,Life sciences,Life sciences,2,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Male,1702,2070,45.12195122,Final decision,2013,Life sciences,Life sciences,3,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Male,734,631,53.77289377,Final decision,2013,Life sciences,Life sciences,4,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Male,1007,1157,46.53419593,Final decision,2013,Life sciences,Life sciences,5,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Male,400,356,52.91005291,Final decision,2013,Life sciences,Life sciences,6,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Male,62,79,43.97163121,Final decision,2013,Life sciences,Life sciences,7,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Male,109,46,70.32258065,Final decision,2013,Life sciences,Life sciences,8,Only using single-blind journals here
