Study,Study type,Author position,Demographic,Country,Continent,Language,Percent_English,HDI,Rejected,Went through to next stage,% rejected,Year,Category,Subcategory,Journal.impact.factor,Stage,Notes
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Belgium,Europe,Not_English,0.511644425,0.924,414,48,89.61038961,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Benin,Africa,Not_English,0,0.403,1,0,100,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Botswana,Africa,English,0.405613074,0.72,2,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Brazil,Latin America,Not_English,0.05158326,0.758,295,8,97.35973597,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Brazil,Latin America,Not_English,0.05158326,0.67,11,1,91.66666667,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
Primack and Zipf (2016),Observational,Corresponding,Country,Brazil,Latin America,Not_English,0.05158326,0.719,422,77,84.56913828,2009.5,Life sciences,Ecology & Evolution,3.333,Overall decision,We emailed the author to confirm if they used corresponding author because it was not indicated in the article. They were not completely sure but thought it was corresponding because their other articles used corresponding. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Brunei,Asia,Not_English,0.300337153,0.839,1,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Bulgaria,Europe,Not_English,0.25248509,0.811,12,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Cambodia,Asia,Not_English,0.206909867,0.576,1,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Cameroon,Africa,English,0.353429587,0.434,2,0,100,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
Ehara and Takahashi (2007),Observational,Corresponding,Country,Canada,North America,English,0.795880839,0.888,77,121,38.88888889,2004,Health sciences,Health sciences,2.384,Overall decision,"The ""accepted"" category is likely inflated because the authors used the total number of manuscripts rejected in a 2-year period for ""rejected"" but included ones still pending a decision as ""not rejected."" Mostly would reflect ""overall decision"""
Primack and Zipf (2016),Observational,Corresponding,Country,Canada,North America,English,0.795880839,0.898,395,167,70.28469751,2009.5,Life sciences,Ecology & Evolution,3.333,Overall decision,We emailed the author to confirm if they used corresponding author because it was not indicated in the article. They were not completely sure but thought it was corresponding because their other articles used corresponding. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Canada,North America,English,0.795880839,0.923,1674,165,91.02773246,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Canada,North America,English,0.795880839,0.861,70,38,64.81481481,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Chile,Latin America,Not_English,0.108073066,0.845,40,1,97.56097561,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Chile,Latin America,Not_English,0.108073066,0.743,5,0,100,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
Tregenza (2002),Observational,First,Country,China,Asia,Not_English,0.011205037,0.571,7,0,100,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
O'Connor et al. (2017),Observational,Corresponding,Country,China,Asia,Not_English,0.011205037,0.739,69,22,75.82417582,2015,Health sciences,Health sciences,3.124,Overall decision,"The entire journal is double-blind. They also surveyed reviewers to see how often they could correctly identify authors, which occurred in 12.9% of articles. "
Primack and Zipf (2016),Observational,Corresponding,Country,China,Asia,Not_English,0.011205037,0.687,548,55,90.87893864,2009.5,Life sciences,Ecology & Evolution,3.333,Overall decision,We emailed the author to confirm if they used corresponding author because it was not indicated in the article. They were not completely sure but thought it was corresponding because their other articles used corresponding. 
Ehara and Takahashi (2007),Observational,Corresponding,Country,China,Asia,Not_English,0.011205037,0.628,123,131,48.42519685,2004,Health sciences,Health sciences,2.384,Overall decision,"The ""accepted"" category is likely inflated because the authors used the total number of manuscripts rejected in a 2-year period for ""rejected"" but included ones still pending a decision as ""not rejected."" Mostly would reflect ""overall decision"""
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,China,Asia,Not_English,0.011205037,0.746,8753,367,95.97587719,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Colombia,Latin America,Not_English,0.041232689,0.76,10,3,76.92307692,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Costa Rica,Latin America,Not_English,0.078364249,0.801,4,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Croatia,Europe,Not_English,0.473254543,0.841,14,2,87.5,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Cyprus,Asia,Not_English,0.739130435,0.873,10,1,90.90909091,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Cyprus,Asia,Not_English,0.739130435,0.803,1,0,100,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Czech Republic,Europe,Not_English,0.273180459,0.893,134,6,95.71428571,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Czechia,Europe,Not_English,0.273180459,0.783,8,6,57.14285714,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
Tregenza (2002),Observational,First,Country,Denmark,Europe,Not_English,0.864573111,0.856,18,8,69.23076923,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Denmark,Europe,Not_English,0.864573111,0.935,412,66,86.19246862,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Dominican Republic,Latin America,Not_English,0.004695369,0.743,1,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Ecuador,Latin America,Not_English,0,0.758,4,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Egypt,Africa,Not_English,0.337279125,0.696,20,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Estonia,Europe,Not_English,0.537902564,0.766,1,1,50,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Estonia,Europe,Not_English,0.537902564,0.881,21,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Ethiopia,Africa,Not_English,0.002237193,0.467,5,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Fiji,Oceania,English,0.213681149,0.687,1,0,100,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
Tregenza (2002),Observational,First,Country,Finland,Europe,Not_English,0.702891326,0.846,55,29,65.47619048,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Finland,Europe,Not_English,0.702891326,0.932,284,25,91.90938511,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,France,Europe,Not_English,0.406987724,0.845,120,58,67.41573034,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
Primack and Zipf (2016),Observational,Corresponding,Country,France,Europe,Not_English,0.406987724,0.876,333,99,77.08333333,2009.5,Life sciences,Ecology & Evolution,3.333,Overall decision,We emailed the author to confirm if they used corresponding author because it was not indicated in the article. They were not completely sure but thought it was corresponding because their other articles used corresponding. 
Ehara and Takahashi (2007),Observational,Corresponding,Country,France,Europe,Not_English,0.406987724,0.858,58,95,37.90849673,2004,Health sciences,Health sciences,2.384,Overall decision,"The ""accepted"" category is likely inflated because the authors used the total number of manuscripts rejected in a 2-year period for ""rejected"" but included ones still pending a decision as ""not rejected."" Mostly would reflect ""overall decision"""
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,France,Europe,Not_English,0.406987724,0.894,2227,231,90.60211554,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Gambia,Africa,English,0.031140769,0.475,1,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Georgia,Asia,Not_English,0,0.792,4,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Germany,Europe,Not_English,0.586791396,0.941,3936,487,88.98937373,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Germany,Europe,Not_English,0.586791396,0.86,71,36,66.35514019,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
Primack and Zipf (2016),Observational,Corresponding,Country,Germany,Europe,Not_English,0.586791396,0.924,332,127,72.33115468,2009.5,Life sciences,Ecology & Evolution,3.333,Overall decision,We emailed the author to confirm if they used corresponding author because it was not indicated in the article. They were not completely sure but thought it was corresponding because their other articles used corresponding. 
Ehara and Takahashi (2007),Observational,Corresponding,Country,Germany,Europe,Not_English,0.586791396,0.907,85,178,32.31939163,2004,Health sciences,Health sciences,2.384,Overall decision,"The ""accepted"" category is likely inflated because the authors used the total number of manuscripts rejected in a 2-year period for ""rejected"" but included ones still pending a decision as ""not rejected."" Mostly would reflect ""overall decision"""
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Ghana,Africa,English,0.399062748,0.598,1,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Greece,Europe,Not_English,0.521860412,0.795,2,0,100,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Greece,Europe,Not_English,0.521860412,0.874,103,4,96.26168224,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Guyana,Latin America,English,0.955662463,0.676,3,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Hong Kong,Asia,English,0.517248014,0.82,1,0,100,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Hong Kong,Asia,English,0.517248014,0.936,317,22,93.51032448,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Hungary,Europe,Not_English,0.204701273,0.758,9,5,64.28571429,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Hungary,Europe,Not_English,0.204701273,0.844,143,6,95.97315436,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Iceland,Europe,Not_English,0.858428325,0.855,1,0,100,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Iceland,Europe,Not_English,0.858428325,0.941,31,7,81.57894737,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Primack and Zipf (2016),Observational,Corresponding,Country,India,Asia,English,0.200031182,0.569,361,29,92.56410256,2009.5,Life sciences,Ecology & Evolution,3.333,Overall decision,We emailed the author to confirm if they used corresponding author because it was not indicated in the article. They were not completely sure but thought it was corresponding because their other articles used corresponding. 
Tregenza (2002),Observational,First,Country,India,Asia,English,0.200031182,0.481,8,1,88.88888889,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,India,Asia,English,0.200031182,0.63,884,13,98.55072464,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Ehara and Takahashi (2007),Observational,Corresponding,Country,India,Asia,English,0.200031182,0.527,58,21,73.41772152,2004,Health sciences,Health sciences,2.384,Overall decision,"The ""accepted"" category is likely inflated because the authors used the total number of manuscripts rejected in a 2-year period for ""rejected"" but included ones still pending a decision as ""not rejected."" Mostly would reflect ""overall decision"""
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Indonesia,Asia,Not_English,0.000127328,0.703,11,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Iran,Asia,Not_English,0,0.784,84,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Iraq,Asia,Not_English,0.362812882,0.656,3,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Ireland,Europe,English,0.987103175,0.943,147,9,94.23076923,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Ireland,Europe,English,0.987103175,0.851,3,1,75,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
Tregenza (2002),Observational,First,Country,Israel,Asia,Not_English,0.71488881,0.852,38,8,82.60869565,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Israel,Asia,Not_English,0.71488881,0.913,749,69,91.56479218,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Ehara and Takahashi (2007),Observational,Corresponding,Country,Israel,Asia,Not_English,0.71488881,0.876,25,41,37.87878788,2004,Health sciences,Health sciences,2.384,Overall decision,"The ""accepted"" category is likely inflated because the authors used the total number of manuscripts rejected in a 2-year period for ""rejected"" but included ones still pending a decision as ""not rejected."" Mostly would reflect ""overall decision"""
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Italy,Europe,Not_English,0.3503861,0.884,1137,70,94.2004971,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Ehara and Takahashi (2007),Observational,Corresponding,Country,Italy,Europe,Not_English,0.3503861,0.86,62,90,40.78947368,2004,Health sciences,Health sciences,2.384,Overall decision,"The ""accepted"" category is likely inflated because the authors used the total number of manuscripts rejected in a 2-year period for ""rejected"" but included ones still pending a decision as ""not rejected."" Mostly would reflect ""overall decision"""
Tregenza (2002),Observational,First,Country,Italy,Europe,Not_English,0.3503861,0.827,46,13,77.96610169,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Jamaica,North America,English,0.994424661,0.731,1,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Japan,Asia,Not_English,0.087429058,0.849,47,15,75.80645161,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
Ehara and Takahashi (2007),Observational,Corresponding,Country,Japan,Asia,Not_English,0.087429058,0.871,244,334,42.21453287,2004,Health sciences,Health sciences,2.384,Overall decision,"The ""accepted"" category is likely inflated because the authors used the total number of manuscripts rejected in a 2-year period for ""rejected"" but included ones still pending a decision as ""not rejected."" Mostly would reflect ""overall decision"""
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Japan,Asia,Not_English,0.087429058,0.912,3625,257,93.37970118,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Jordan,Asia,Not_English,0.421767873,0.729,2,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Kazakhstan,Asia,Not_English,0.223,0.808,7,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Kenya,Africa,English,0.079285702,0.591,10,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Kuwait,Asia,Not_English,0.008684888,0.78,1,0,100,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Kuwait,Asia,Not_English,0.008684888,0.804,6,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Latvia,Europe,Not_English,0.485851825,0.711,4,1,80,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
Tregenza (2002),Observational,First,Country,Lebanon,Asia,Not_English,0.500967893,0.74,1,0,100,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,"Lebanon doesn't have an HDI until 2005, so we used that here. Lebanon was occupied by Syria until 2005. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Lebanon,Asia,Not_English,0.500967893,0.741,3,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Lithuania,Europe,Not_English,0.402820612,0.867,6,1,85.71428571,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Luxembourg,Europe,Not_English,0.576846307,0.91,24,5,82.75862069,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Madagascar,Africa,Not_English,0.082,0.523,1,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Malaysia,Asia,Not_English,0.318016465,0.8,36,1,97.2972973,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Malaysia,Asia,Not_English,0.318016465,0.708,1,0,100,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Malta,Europe,English,0.962894764,0.885,2,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Mexico,Latin America,Not_English,0.049257842,0.768,70,3,95.89041096,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Mexico,Latin America,Not_English,0.049257842,0.695,8,2,80,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Morocco,Africa,Not_English,0.140600884,0.667,1,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Nepal,Asia,Not_English,0.277039834,0.586,2,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Netherlands,Europe,Not_English,0.90729783,0.936,950,130,87.96296296,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Netherlands,Europe,Not_English,0.90729783,0.874,46,34,57.5,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
Ehara and Takahashi (2007),Observational,Corresponding,Country,Netherlands,Europe,Not_English,0.90729783,0.892,22,51,30.1369863,2004,Health sciences,Health sciences,2.384,Overall decision,"The ""accepted"" category is likely inflated because the authors used the total number of manuscripts rejected in a 2-year period for ""rejected"" but included ones still pending a decision as ""not rejected."" Mostly would reflect ""overall decision"""
Tregenza (2002),Observational,First,Country,New Zealand,Oceania,English,0.954,0.87,15,10,60,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,New Zealand,Oceania,English,0.954,0.924,112,9,92.56198347,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Nigeria,Africa,English,0.280448891,0.526,10,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Nigeria,Africa,English,0.280448891,0.45,1,0,100,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,"Nigeria doesn’t have an HDI until 2003, so we used the 2003 HDI here"
Tregenza (2002),Observational,First,Country,Norway,Europe,Not_English,0.852428349,0.904,36,18,66.66666667,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
