Journal,language requirements,language requirements notes,language requirements binned,editing services,author guidelines suggest peer review,Authors are recommended in guidelines to suggest reviewers from diverse backgrounds (select no if there are no guidelines),authors suggest diverse reviews binned,guidelines multiple countries,guidelines multiple institutions,guidelines ecr,guidelines gender,guidelines another demographic enthnicity or race,guidelines another demographic other,guidelines to be reviewer,guidelines link publisher,guidelines reviewer specific journal,guidelines social justice,guidelines esl,blind format,journal publish peer reviews,continent,eic_01,eic_02,eic_03,eic_04,eic_05,eic_06,eic_07,eic_08,eic_09,JCR 2020 IF,JIF_bin,JCR 2020 IF sans self citations ,JCR 2020 JCI,Language in JCR,Country based in on JCR,Publisher on JCR,Publisher from JCR but binned by larger company,Publisher major minor,society,Society listed,Society_publisher,First year in JCR,Website URL,Secondary website domain,Notes,Overall Tier Score,Notes on tier scoring,Source
Agronomy for Sustainable Development,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""Non-English native authors should seek appropriate help from English-writing professionals before submission. The journal may ask authors to provide a certificate from an English language proofreading service.""",6,Authors pay for editing,Yes,Yes,3,Yes,No,No,No,No,No,No,No,No,No,No,Single,No,Europe,France,France,France,,,,,,,5.832,Mid,5.622,1.05,Multi-Language,FRANCE,SPRINGER FRANCE,SPRINGER,Major,"French National Institute for Agriculture, Food and Environment",Society,Major_Society,2005,https://www.springer.com/journal/13593,,"French National Institute for Agriculture, Food and Environment (INRAE). There are three EICs, all from France",Tier 3,mentions ecology but focus is agronomy,JCR
Agronomy-Basel,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""If you are not a native English speaker, we recommend that you have your manuscript professionally edited before submission or read by a native English-speaking colleague. This can be carried out by MDPI's English editing service. Professional editing will enable reviewers and future readers to more easily read and assess the content of submitted manuscripts. All accepted manuscripts undergo language editing, however an additional fee will be charged to authors if very extensive English corrections must be made by the Editorial Office: pricing is according to the service here.""",6,Authors pay for editing,Yes,No,2,No,No,No,No,No,No,Yes,Yes,No,No,No,Single,Yes,Europe,Australia,,,,,,,,,3.417,Mid,2.671,0.94,English,SWITZERLAND,MDPI,MDPI,Minor,Spanish Society of Plant Physiology,Society,Minor_Society,2017,https://www.mdpi.com/journal/agronomy,,Publisher: MDPI; Publishing peer reviews is optional to the authors,Tier 1,,JCR
AIMS Environmental Science,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""In order to speed up the peer review procedure, we encourage non-native English speaking authors to send their manuscript to a native English speaker or an English editing company for polishing before submitting to our journal. There are some English editing companies below for your consideration. Please provide the certification from the company you used along with the submission to our journal.""",6,Partial waivers available,Optional,No,2,No,No,No,No,No,No,Yes,Yes,No,No,No,Single,No,Unclear,United States,,,,,,,,,NA,NA,NA,NA,English,United States,AMER INST MATHEMATICAL SCIENCES-AIMS,AMER INST MATHEMATICAL SCIENCES-AIMS,Minor,NA,Not_society,Minor_Not_society,2020,https://www.aimspress.com/journal/environmental,,Publisher: AIMS Press; no JIF because 2020 is the first JCR year ,Tier 1,,JCR
ALGAE,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""Authors who require information about language editing... visit [direct link that goes to main journal website - not direct link to editing?] Do your very best to use correct English grammar, spelling and punctuation; if you are not a native English speaker, you should have the text edited by someone, as the editors cannot always be expected to carry out major linguistic revision.""",6,Authors pay for editing,Optional,No,2,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Asia,"Korea, Republic Of",,,,,,,,,2.5,Low,1.704,0.92,English,"Korea, Republic Of",KOREAN SOC PHYCOLOGY,KOREAN SOC PHYCOLOGY,Minor,Korean Society of Phycology,Society,Minor_Society,2014,https://www.e-algae.org/,,"Publisher: The Korean Society of Phycology; Blinding format assumed from title page and text mentioning ""anonymous reviewers""",Tier 3,,JCR
Alpine Botany,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""For editors and reviewers to accurately assess the work presented in your manuscript you need to ensure the English language is of sufficient quality to be understood. If you need help with writing in English you should consider:
Getting a fast, free online grammar check.
Asking a colleague who is proficient in English to review your manuscript for clarity.
Visiting the English language tutorial which covers the common mistakes when writing in English.
Using a professional language editing service where editors will improve the English to ensure that your meaning is clear and identify problems that require your review. Two such services are provided by our affiliates Nature Research Editing Service and American Journal Experts. Springer authors are entitled to a 10% discount on their first submission to either of these services, simply follow the links below""",5,Authors pay for editing,Optional,Yes,3,Yes,Yes,No,No,No,No,No,No,No,No,No,Single,No,Europe,Switzerland,,,,,,,,,2.094,Low,2,0.77,English,SWITZERLAND,SPRINGER BASEL AG,SPRINGER,Major,Swiss Botanical Society,Society,Major_Society,2011,https://www.springer.com/journal/35,,Partial waiver for editing services chosen; guidelines also recommend a free grammar service,Tier 1,,JCR
AMBIO,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""For editors and reviewers to accurately assess the work presented in your manuscript you need to ensure the English language is of sufficient quality to be understood. If you need help with writing in English you should consider:
Getting a fast, free online grammar check.
Asking a colleague who is proficient in English to review your manuscript for clarity.
Visiting the English language tutorial which covers the common mistakes when writing in English.
Using a professional language editing service where editors will improve the English to ensure that your meaning is clear and identify problems that require your review. Two such services are provided by our affiliates Nature Research Editing Service and American Journal Experts. Springer authors are entitled to a 10% discount on their first submission to either of these services, simply follow the links below""",5,Authors pay for editing,Optional,Yes,3,Yes,Yes,No,No,No,No,No,No,No,No,No,Double_required,No,Europe,Sweden,,,,,,,,,5.129,Mid,4.839,0.86,English,SWEDEN,SPRINGER,SPRINGER,Major,The Royal Swedish Academy of Sciences,Society,Major_Society,1997,https://www.springer.com/journal/13280,,Referee suggestions not required but suggested that  referees given should come from different countries and institutions,Tier 3,"Focuses on ""the interrelationships between the environment and society."" Marginally ecology-related ","Original list (publisher, personal knowledge)"
AMERICAN FERN JOURNAL,No mention of language editing in author guidelines or doesn't have author guidelines,No mention of English requirement,1,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Northern America,United States,,,,,,,,,0.857,Low,0.714,0.33,English,United States,AMER FERN SOC INC,AMER FERN SOC INC,Minor,American Fern Society,Society,Minor_Society,1997,https://www.amerfernsoc.org/american-fern-journal/,https://bioone.org/journals/american-fern-journal?gclid=CjwKCAiAprGRBhBgEiwANJEY7MGGVFkf5nnUPMvJIPY5tiLHzrinqX5e84jZ35KhoB6tU60b3w8-sBoCweYQAvD_BwE,Blinding format assumed from title page; Presumed to be based in North America,Tier 3,,JCR
American Journal of Botany,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)",""" Wiley Editing Services can greatly improve the chances of a manuscript being accepted. Offering expert help in English language editing, translation, manuscript formatting, and figure preparation, Wiley Editing Services ensures that the manuscript is ready for submission.""",6,Authors pay for editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Single,No,Northern America,United States,,,,,,,,,3.844,Mid,3.564,1.01,English,United States,WILEY,WILEY,Major,Botanical Society of America,Society,Major_Society,1997,https://bsapubs.onlinelibrary.wiley.com/journal/15372197,,,Tier 1,"Focuses on ""all organisms studied by botanical researchers (including land plants, algae, fungi, lichen, cyanobacteria)""","Original list (publisher, personal knowledge)"
ANALES DEL JARDIN BOTANICO DE MADRID,"Journal publishes articles in more than one language (e.g., Spanish and English)",also publishes in Spanish,2,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Double_required,No,Europe,Spain,,,,,,,,,0.385,Low,0.346,0.16,Multi-Language,SPAIN,CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC,CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC,Minor,NA,Not_society,Minor_Not_society,2011,https://rjb.revistas.csic.es/index.php/rjb,,Publisher: Spanish National Research Council (Consejo Superior de Investigaciones Cientificas),Tier 1,,JCR
Anatomical Record-Advances in Integrative Anatomy and Evolutionary Biology,No mention of language editing in author guidelines or doesn't have author guidelines,,1,Journal doesn't mention language editing,Yes,No,2,No,No,No,No,No,No,Yes,Yes,No,No,No,Single,No,Northern America,United States,,,,,,,,,2.064,Low,1.839,1.1,English,United States,WILEY,WILEY,Major,American Association for Anatomy ,Society,Major_Society,1997,https://anatomypubs.onlinelibrary.wiley.com/loi/15524892,,"Journal name on the website is ""The Anatomical Record: Advances in Integrative Anatomy and Evolutionary Biology."" In JCR under ""Anatomical Record-Advances in Integrative Anatomy and Evolutionary Biology."" It was formerly listed as ""Discoveries in Molecular, Cellular, and Evolutionary Biology"" from the original publisher search, but I switched it to the JCR name. ",Tier 1,,"Original list (publisher, personal knowledge)"
Animal Behaviour,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""Authors who are unsure of correct English usage should have their manuscript checked by someone proficient in the language. Manuscripts in which the English is difficult to understand may be returned to the author for revision before scientific review. Papers that are accepted but incorrectly prepared or whose English is poor, may also be subject to delays in the press.""",5,Authors pay for editing,Yes,No,2,No,No,No,No,No,No,Yes,Yes,No,No,No,Double_optional,No,Europe,United Kingdom,United States,,,,,,,,2.844,Low,2.675,1.32,English,United Kingdom,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,ELSEVIER,Major,NA,Not_society,Major_Not_society,1997,https://www.journals.elsevier.com/animal-behaviour,,,Tier 1,,"Original list (publisher, personal knowledge)"
ANIMAL BIOLOGY,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""Contributions to Animal Biology should be written in English. Spelling (British or American) should be consistent throughout. The journal office does not offer extensive English-language editing services. If authors are unsure of correct English usage, they are responsible for getting their manuscript proofread -prior to submission - by a person proficient in English. Manuscripts in which English grammar and/or style are difficult to understand will be returned to the author for revision before scientific review.""",6,Authors pay for editing,Yes,No,2,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Europe,Netherlands,,,,,,,,,1.475,Low,1.197,0.94,English,NETHERLANDS,BRILL,BRILL,Minor,Royal Dutch Zoological Society,Society,Minor_Society,2003,https://brill.com/view/journals/ab/ab-overview.xml?language=en,,Blinding format assumed from title page,Tier 1,,JCR
ANIMAL GENETICS,Offers editing but doesn't strongly suggest or recommend that people use it,"""Wiley Editing Services offers expert help with English Language Editing, as well as translation, manuscript formatting, figure illustration, figure formatting, and graphical abstract design – so you can submit your manuscript with confidence.""",4,Authors pay for editing,No,No,1,No,No,No,No,No,No,Yes,Yes,No,No,No,Single,No,Europe,Netherlands,,,,,,,,,3.169,Mid,2.846,1.09,English,United Kingdom,WILEY,WILEY,Major,International Foundation for Animal Genetics,Society,Major_Society,1997,https://onlinelibrary.wiley.com/journal/13652052,,,Tier 3,,JCR
Animals,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""If you are not a native English speaker, we recommend that you have your manuscript professionally edited before submission or read by a native English-speaking colleague. This can be carried out by MDPI's English editing service. Professional editing will enable reviewers and future readers to more easily read and assess the content of submitted manuscripts. All accepted manuscripts undergo language editing, however an additional fee will be charged to authors if very extensive English corrections must be made by the Editorial Office: pricing is according to the service here.""",6,Authors pay for editing,Yes,No,2,No,No,No,No,No,No,Yes,Yes,No,No,No,Single,Yes,Unclear,Australia,,,,,,,,,2.752,Low,1.967,1.28,English,SWITZERLAND,MDPI,MDPI,Minor,NA,Not_society,Minor_Not_society,2018,https://www.mdpi.com/journal/animals,,There are two entries in JCR for Animals with the same ISSN number but one is for 2017 and the other is for 2018-present,Tier 1,,"Original list (publisher, personal knowledge)"
ANNALES BOTANICI FENNICI,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""If English is not your first language, make sure that the manuscript is checked by a native English speaker preferably familiar with the subject and terms used in the paper. We routinely check the language of all accepted manuscripts and if we find it to be inadequate, manuscripts are returned for further corrections. """,6,Journal doesn't mention language editing,Yes,No,2,No,No,No,No,No,No,No,No,No,No,No,Single,No,Europe,Finland,,,,,,,,,0.626,Low,0.571,0.22,English,FINLAND,FINNISH ZOOLOGICAL BOTANICAL PUBLISHING BOARD,FINNISH ZOOLOGICAL BOTANICAL PUBLISHING BOARD,Minor,"Societas Biologica Fennica Vanamo, Societas pro Fauna et Flora Fennica, Societas Scientiarum Fennica ",Society,Minor_Society,1997,http://www.sekj.org/AnnBot.html,,Publisher: Finnish Zoological and Botanical Publishing Board,Tier 1,,JCR
