Study,Study type,Author position,Demographic,Demographic category,Author country,Assessor,Reviewer country,Reviewer.demographic,Continent,Language,HDI,Reviewer ordinal scores,Min value,Max value,Reviewer_rescaled,Total manuscripts,Accept,Minor revision,Major revision,Reject with invitation to resubmit,Reject,Year,Category,Subcategory,Journal impact factor,Stage,Notes
Opthof et al. (2002),Observational,First,Country,France,Known,Reviewer,Not France,Not match,Europe,Not English,0.851,63.23,0,100,0.6323,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Last,Country,France,Known,Reviewer,Not France,Not match,Europe,Not English,0.851,63.23,0,100,0.6323,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Corresponding,Country,Germany,Known,Reviewer,Not Germany,Not match,Europe,Not English,0.868,64.93,0,100,0.6493,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,First,Country,Germany,Known,Reviewer,Not Germany,Not match,Europe,Not English,0.868,64.93,0,100,0.6493,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Last,Country,Germany,Known,Reviewer,Not Germany,Not match,Europe,Not English,0.868,64.93,0,100,0.6493,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Corresponding,Country,Italy,Known,Reviewer,Not Italy,Not match,Europe,Not English,0.832,81.63,0,100,0.8163,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,First,Country,Italy,Known,Reviewer,Not Italy,Not match,Europe,Not English,0.832,81.63,0,100,0.8163,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Last,Country,Italy,Known,Reviewer,Not Italy,Not match,Europe,Not English,0.832,81.63,0,100,0.8163,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Corresponding,Country,Japan,Known,Reviewer,Not Japan,Not match,Asia,Not English,0.852,66.93,0,100,0.6693,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,First,Country,Japan,Known,Reviewer,Not Japan,Not match,Asia,Not English,0.852,66.93,0,100,0.6693,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Last,Country,Japan,Known,Reviewer,Not Japan,Not match,Asia,Not English,0.852,66.93,0,100,0.6693,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Corresponding,Country,United Kingdom,Known,Reviewer,Not United Kingdom,Not match,Europe,English,0.868,56.33,0,100,0.5633,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,First,Country,United Kingdom,Known,Reviewer,Not United Kingdom,Not match,Europe,English,0.868,56.33,0,100,0.5633,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Last,Country,United Kingdom,Known,Reviewer,Not United Kingdom,Not match,Europe,English,0.868,56.33,0,100,0.5633,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Corresponding,Country,United States,Known,Reviewer,Not United States,Not match,North America,English,0.89,57.93,0,100,0.5793,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,First,Country,United States,Known,Reviewer,Not United States,Not match,North America,English,0.89,57.93,0,100,0.5793,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Last,Country,United States,Known,Reviewer,Not United States,Not match,North America,English,0.89,57.93,0,100,0.5793,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Corresponding,Country,United Kingdom,Known,Reviewer,United Kingdom,Match,Europe,English,0.868,21.03,0,100,0.2103,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,First,Country,United Kingdom,Known,Reviewer,United Kingdom,Match,Europe,English,0.868,21.03,0,100,0.2103,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Last,Country,United Kingdom,Known,Reviewer,United Kingdom,Match,Europe,English,0.868,21.03,0,100,0.2103,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
