Study,Study type,Author position,Demographic,Demographic.category,Total manuscripts,N.reviewers,Blinding.format,Blinding type,Year,Category,Subcategory,Journal impact factor,Stage,Notes
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,7845,2.20917782,Single,NA,2013,Health sciences,Health sciences,4,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,2117,2.317430326,Single,NA,2013,Health sciences,Health sciences,5,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,1205,2.021576763,Single,NA,2013,Health sciences,Health sciences,6,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,475,2.197894737,Single,NA,2013,Health sciences,Health sciences,7,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,1520,2.113815789,Single,NA,2013,Health sciences,Health sciences,1,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,6135,1.990220049,Single,NA,2013,Health sciences,Health sciences,2,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,4932,2.048256285,Single,NA,2013,Health sciences,Health sciences,3,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,10132,2.200651402,Single,NA,2013,Health sciences,Health sciences,4,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,2838,2.338971106,Single,NA,2013,Health sciences,Health sciences,5,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,1493,2.017414601,Single,NA,2013,Health sciences,Health sciences,6,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,540,2.174074074,Single,NA,2013,Health sciences,Health sciences,7,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,5101,1.772005489,Double,NA,2013,Health sciences,Health sciences,1,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,10810,1.915078631,Double,NA,2013,Health sciences,Health sciences,2,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,1485,2.210774411,Double,NA,2013,Health sciences,Health sciences,3,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,146,1.835616438,Double,NA,2013,Health sciences,Health sciences,4,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,116,1.948275862,Double,NA,2013,Health sciences,Health sciences,5,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,4213,1.703536672,Double,NA,2013,Health sciences,Health sciences,1,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,10180,1.898035363,Double,NA,2013,Health sciences,Health sciences,2,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,1202,2.172212978,Double,NA,2013,Health sciences,Health sciences,3,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,124,1.798387097,Double,NA,2013,Health sciences,Health sciences,4,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,116,1.939655172,Double,NA,2013,Health sciences,Health sciences,5,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,2231,2.118332586,Single,NA,2013,Health sciences,Health sciences,1,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,11059,1.962383579,Single,NA,2013,Health sciences,Health sciences,2,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,8519,2.033572015,Single,NA,2013,Health sciences,Health sciences,3,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,13286,2.136534698,Single,NA,2013,Health sciences,Health sciences,4,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,4716,2.216284987,Single,NA,2013,Health sciences,Health sciences,5,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,3315,2.034690799,Single,NA,2013,Health sciences,Health sciences,6,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,1544,2.198186528,Single,NA,2013,Health sciences,Health sciences,7,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,1854,2.093311758,Single,NA,2013,Health sciences,Health sciences,1,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,9854,1.965496245,Single,NA,2013,Health sciences,Health sciences,2,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,7247,2.009797157,Single,NA,2013,Health sciences,Health sciences,3,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,11617,2.131359215,Single,NA,2013,Health sciences,Health sciences,4,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,4184,2.194550669,Single,NA,2013,Health sciences,Health sciences,5,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,3094,2.061085973,Single,NA,2013,Health sciences,Health sciences,6,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,1607,2.210329807,Single,NA,2013,Health sciences,Health sciences,7,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,327,2.058103976,Double,NA,2013,Life sciences,Life sciences,2,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,815,2.05398773,Double,NA,2013,Life sciences,Life sciences,3,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,60,2.6,Double,NA,2013,Life sciences,Life sciences,4,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,144,2.506944444,Double,NA,2013,Life sciences,Life sciences,5,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,71,2.507042254,Double,NA,2013,Life sciences,Life sciences,6,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,91,2.230769231,Double,NA,2013,Life sciences,Life sciences,7,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,384,2.065104167,Double,NA,2013,Life sciences,Life sciences,2,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,948,2.034810127,Double,NA,2013,Life sciences,Life sciences,3,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,139,2.568345324,Double,NA,2013,Life sciences,Life sciences,4,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,310,2.519354839,Double,NA,2013,Life sciences,Life sciences,5,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,146,2.376712329,Double,NA,2013,Life sciences,Life sciences,6,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,179,2.312849162,Double,NA,2013,Life sciences,Life sciences,7,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,763,2.017038008,Single,NA,2013,Life sciences,Life sciences,1,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,1532,1.825065274,Single,NA,2013,Life sciences,Life sciences,2,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,1340,2.126119403,Single,NA,2013,Life sciences,Life sciences,3,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,676,2.26035503,Single,NA,2013,Life sciences,Life sciences,4,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,875,2.577142857,Single,NA,2013,Life sciences,Life sciences,5,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,511,2.242661448,Single,NA,2013,Life sciences,Life sciences,6,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,67,2.104477612,Single,NA,2013,Life sciences,Life sciences,7,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,44,1.795454545,Single,NA,2013,Life sciences,Life sciences,8,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,1181,2.032176122,Single,NA,2013,Life sciences,Life sciences,1,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,2178,1.83241506,Single,NA,2013,Life sciences,Life sciences,2,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,1960,2.113265306,Single,NA,2013,Life sciences,Life sciences,3,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,924,2.272727273,Single,NA,2013,Life sciences,Life sciences,4,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,1464,2.55942623,Single,NA,2013,Life sciences,Life sciences,5,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,684,2.286549708,Single,NA,2013,Life sciences,Life sciences,6,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,95,2.136842105,Single,NA,2013,Life sciences,Life sciences,7,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,95,1.863157895,Single,NA,2013,Life sciences,Life sciences,8,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,563,2.078152753,Double,NA,2013,Life sciences,Life sciences,2,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,1224,2.038398693,Double,NA,2013,Life sciences,Life sciences,3,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,239,2.627615063,Double,NA,2013,Life sciences,Life sciences,4,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,672,2.537202381,Double,NA,2013,Life sciences,Life sciences,5,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,310,2.367741935,Double,NA,2013,Life sciences,Life sciences,6,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,434,2.329493088,Double,NA,2013,Life sciences,Life sciences,7,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,530,2.052830189,Double,NA,2013,Life sciences,Life sciences,2,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,1135,2.049339207,Double,NA,2013,Life sciences,Life sciences,3,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,162,2.62962963,Double,NA,2013,Life sciences,Life sciences,4,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,514,2.540856031,Double,NA,2013,Life sciences,Life sciences,5,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,247,2.388663968,Double,NA,2013,Life sciences,Life sciences,6,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,351,2.304843305,Double,NA,2013,Life sciences,Life sciences,7,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,2474,2.112368634,Single,NA,2013,Life sciences,Life sciences,1,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,4126,1.91032477,Single,NA,2013,Life sciences,Life sciences,2,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,3772,2.109225875,Single,NA,2013,Life sciences,Life sciences,3,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,1365,2.345054945,Single,NA,2013,Life sciences,Life sciences,4,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,2164,2.482902033,Single,NA,2013,Life sciences,Life sciences,5,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,756,2.185185185,Single,NA,2013,Life sciences,Life sciences,6,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,141,2.134751773,Single,NA,2013,Life sciences,Life sciences,7,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,155,1.870967742,Single,NA,2013,Life sciences,Life sciences,8,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,2342,2.105038429,Single,NA,2013,Life sciences,Life sciences,1,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,3790,1.920580475,Single,NA,2013,Life sciences,Life sciences,2,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,3308,2.129081016,Single,NA,2013,Life sciences,Life sciences,3,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,1143,2.339457568,Single,NA,2013,Life sciences,Life sciences,4,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,1691,2.46481372,Single,NA,2013,Life sciences,Life sciences,5,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,624,2.121794872,Single,NA,2013,Life sciences,Life sciences,6,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,105,2.104761905,Single,NA,2013,Life sciences,Life sciences,7,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,120,1.833333333,Single,NA,2013,Life sciences,Life sciences,8,Number of reviewers,Unclear if journals included have optional or mandatory double-blind
