Study,Study type,Author position,Demographic,Demographic.category,Rejected,Went through to next stage,% rejected,Blinding format,Blinding,Year,Category,Subcategory,Journal impact factor,Stage,Notes
Squazzoni et al. (2021),Observational,First,Gender,Male,5329,4525,54.0795616,Single,NA,2013,Health sciences,Health sciences,2,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,2811,4436,38.78846419,Single,NA,2013,Health sciences,Health sciences,3,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,5882,5735,50.63269347,Single,NA,2013,Health sciences,Health sciences,4,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,1780,2404,42.54302103,Single,NA,2013,Health sciences,Health sciences,5,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,1168,1926,37.75048481,Single,NA,2013,Health sciences,Health sciences,6,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,645,962,40.13690106,Single,NA,2013,Health sciences,Health sciences,7,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,149,235,38.80208333,Double,NA,2013,Life sciences,Life sciences,2,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,335,613,35.33755274,Double,NA,2013,Life sciences,Life sciences,3,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,71,68,51.07913669,Double,NA,2013,Life sciences,Life sciences,4,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,130,180,41.93548387,Double,NA,2013,Life sciences,Life sciences,5,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,54,92,36.98630137,Double,NA,2013,Life sciences,Life sciences,6,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,49,130,27.37430168,Double,NA,2013,Life sciences,Life sciences,7,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,195,335,36.79245283,Double,NA,2013,Life sciences,Life sciences,2,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,379,756,33.39207048,Double,NA,2013,Life sciences,Life sciences,3,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,87,75,53.7037037,Double,NA,2013,Life sciences,Life sciences,4,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,231,283,44.94163424,Double,NA,2013,Life sciences,Life sciences,5,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,93,154,37.65182186,Double,NA,2013,Life sciences,Life sciences,6,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,92,259,26.21082621,Double,NA,2013,Life sciences,Life sciences,7,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,528,653,44.70787468,Single,NA,2013,Life sciences,Life sciences,1,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,659,1519,30.25711662,Single,NA,2013,Life sciences,Life sciences,2,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,607,1353,30.96938776,Single,NA,2013,Life sciences,Life sciences,3,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,354,570,38.31168831,Single,NA,2013,Life sciences,Life sciences,4,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,515,949,35.17759563,Single,NA,2013,Life sciences,Life sciences,5,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,315,369,46.05263158,Single,NA,2013,Life sciences,Life sciences,6,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,40,55,42.10526316,Single,NA,2013,Life sciences,Life sciences,7,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,49,46,51.57894737,Single,NA,2013,Life sciences,Life sciences,8,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,954,1388,40.73441503,Single,NA,2013,Life sciences,Life sciences,1,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,1099,2691,28.99736148,Single,NA,2013,Life sciences,Life sciences,2,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,1033,2275,31.22732769,Single,NA,2013,Life sciences,Life sciences,3,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,416,727,36.39545057,Single,NA,2013,Life sciences,Life sciences,4,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,520,1171,30.75103489,Single,NA,2013,Life sciences,Life sciences,5,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,261,363,41.82692308,Single,NA,2013,Life sciences,Life sciences,6,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,34,71,32.38095238,Single,NA,2013,Life sciences,Life sciences,7,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,55,65,45.83333333,Single,NA,2013,Life sciences,Life sciences,8,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,2374,3437,40.85355361,Double,NA,2013,Health sciences,Health sciences,1,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,1734,2674,39.33756806,Double,NA,2013,Health sciences,Health sciences,2,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,405,919,30.58912387,Double,NA,2013,Health sciences,Health sciences,3,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,22,48,31.42857143,Double,NA,2013,Health sciences,Health sciences,4,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,22,57,27.84810127,Double,NA,2013,Health sciences,Health sciences,5,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,2240,2861,43.91295824,Double,NA,2013,Health sciences,Health sciences,1,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,4723,6087,43.69102683,Double,NA,2013,Health sciences,Health sciences,2,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,456,1029,30.70707071,Double,NA,2013,Health sciences,Health sciences,3,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,49,97,33.56164384,Double,NA,2013,Health sciences,Health sciences,4,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,34,82,29.31034483,Double,NA,2013,Health sciences,Health sciences,5,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,367,681,35.01908397,Single,NA,2013,Health sciences,Health sciences,1,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,2386,2165,52.42803779,Single,NA,2013,Health sciences,Health sciences,2,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,1351,1998,40.34040012,Single,NA,2013,Health sciences,Health sciences,3,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,3977,3868,50.69471001,Single,NA,2013,Health sciences,Health sciences,4,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,871,1246,41.14312707,Single,NA,2013,Health sciences,Health sciences,5,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,453,752,37.593361,Single,NA,2013,Health sciences,Health sciences,6,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,184,291,38.73684211,Single,NA,2013,Health sciences,Health sciences,7,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,859,1372,38.50291349,Single,NA,2013,Health sciences,Health sciences,1,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,5776,5283,52.22895379,Single,NA,2013,Health sciences,Health sciences,2,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,3302,5217,38.76041789,Single,NA,2013,Health sciences,Health sciences,3,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,6681,6605,50.28601535,Single,NA,2013,Health sciences,Health sciences,4,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,2054,2662,43.5538592,Single,NA,2013,Health sciences,Health sciences,5,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,1280,2035,38.61236802,Single,NA,2013,Health sciences,Health sciences,6,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,645,899,41.7746114,Single,NA,2013,Health sciences,Health sciences,7,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,115,212,35.16819572,Double,NA,2013,Life sciences,Life sciences,2,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,283,532,34.72392638,Double,NA,2013,Life sciences,Life sciences,3,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,31,29,51.66666667,Double,NA,2013,Life sciences,Life sciences,4,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,67,77,46.52777778,Double,NA,2013,Life sciences,Life sciences,5,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,26,45,36.61971831,Double,NA,2013,Life sciences,Life sciences,6,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,22,69,24.17582418,Double,NA,2013,Life sciences,Life sciences,7,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,212,351,37.65541741,Double,NA,2013,Life sciences,Life sciences,2,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,431,793,35.2124183,Double,NA,2013,Life sciences,Life sciences,3,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,123,116,51.46443515,Double,NA,2013,Life sciences,Life sciences,4,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,289,383,43.00595238,Double,NA,2013,Life sciences,Life sciences,5,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,116,194,37.41935484,Double,NA,2013,Life sciences,Life sciences,6,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,116,318,26.7281106,Double,NA,2013,Life sciences,Life sciences,7,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,334,429,43.77457405,Single,NA,2013,Life sciences,Life sciences,1,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,478,1054,31.20104439,Single,NA,2013,Life sciences,Life sciences,2,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,433,907,32.31343284,Single,NA,2013,Life sciences,Life sciences,3,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,270,406,39.9408284,Single,NA,2013,Life sciences,Life sciences,4,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,311,564,35.54285714,Single,NA,2013,Life sciences,Life sciences,5,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,231,280,45.20547945,Single,NA,2013,Life sciences,Life sciences,6,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,24,43,35.82089552,Single,NA,2013,Life sciences,Life sciences,7,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,23,21,52.27272727,Single,NA,2013,Life sciences,Life sciences,8,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,989,1485,39.97574778,Single,NA,2013,Life sciences,Life sciences,1,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,1141,2985,27.65390208,Single,NA,2013,Life sciences,Life sciences,2,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,1144,2628,30.32873807,Single,NA,2013,Life sciences,Life sciences,3,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,482,883,35.31135531,Single,NA,2013,Life sciences,Life sciences,4,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,679,1485,31.37707948,Single,NA,2013,Life sciences,Life sciences,5,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,328,428,43.38624339,Single,NA,2013,Life sciences,Life sciences,6,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,51,90,36.17021277,Single,NA,2013,Life sciences,Life sciences,7,Post-initial review,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,72,83,46.4516129,Single,NA,2013,Life sciences,Life sciences,8,Post-initial review,Unclear if journals included have optional or mandatory double-blind
