Study,Study.type,Author.position,Demographic,Country,Continent,Language,Percent_English,HDI,Rejected,Went.through.to.next.stage,X..rejected,Blinding.format,Blinding,Year,Category,Subcategory,Journal.impact.factor,Stage,Notes.on.prevalence.type.data
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Armenia,Asia,Not_English,0,0.766,2,0,100,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Australia,Oceania,English,0.950269529,0.939,183,4,97.86096257,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Australia,Oceania,English,0.950269529,0.939,1582,157,90.97182289,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Austria,Europe,Not_English,0.740294346,0.917,372,54,87.32394366,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Austria,Europe,Not_English,0.740294346,0.917,35,0,100,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Azerbaijan,Asia,Not_English,0.000274354,0.751,3,0,100,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Bahrain,Asia,Not_English,0.015348807,0.853,1,0,100,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Bangladesh,Asia,Not_English,0.180140463,0.606,14,0,100,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Bangladesh,Asia,Not_English,0.180140463,0.606,5,0,100,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Barbados,North America,English,0.996796013,0.811,1,0,100,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Belgium,Europe,Not_English,0.511644425,0.924,34,3,91.89189189,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Belgium,Europe,Not_English,0.511644425,0.924,414,48,89.61038961,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Botswana,Africa,English,0.405613074,0.72,2,0,100,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Brazil,Latin America,Not_English,0.05158326,0.758,295,8,97.35973597,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Brazil,Latin America,Not_English,0.05158326,0.758,63,1,98.4375,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Brunei,Asia,Not_English,0.300337153,0.839,1,0,100,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Bulgaria,Europe,Not_English,0.25248509,0.811,12,0,100,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Bulgaria,Europe,Not_English,0.25248509,0.811,1,0,100,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Cambodia,Asia,Not_English,0.206909867,0.576,1,0,100,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Cameroon,Africa,English,0.353429587,0.553,1,0,100,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Canada,North America,English,0.795880839,0.923,1674,165,91.02773246,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Canada,North America,English,0.795880839,0.923,174,6,96.66666667,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Chile,Latin America,Not_English,0.108073066,0.845,13,1,92.85714286,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Chile,Latin America,Not_English,0.108073066,0.845,40,1,97.56097561,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,China,Asia,Not_English,0.011205037,0.746,8753,367,95.97587719,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,China,Asia,Not_English,0.011205037,0.746,2626,41,98.46269216,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Colombia,Latin America,Not_English,0.041232689,0.76,10,3,76.92307692,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Colombia,Latin America,Not_English,0.041232689,0.76,6,0,100,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,"Congo, the Democratic Republic of the",Africa,Not_English,0,0.471,1,0,100,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Costa Rica,Latin America,Not_English,0.078364249,0.801,4,0,100,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Croatia,Europe,Not_English,0.473254543,0.841,5,0,100,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Croatia,Europe,Not_English,0.473254543,0.841,14,2,87.5,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Cuba,Latin America,Not_English,0,0.773,1,0,100,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Cyprus,Asia,Not_English,0.739130435,0.873,10,1,90.90909091,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Cyprus,Asia,Not_English,0.739130435,0.873,10,0,100,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Czech Republic,Europe,Not_English,0.273180459,0.893,21,0,100,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Czech Republic,Europe,Not_English,0.273180459,0.893,134,6,95.71428571,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Denmark,Europe,Not_English,0.864573111,0.935,24,0,100,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Denmark,Europe,Not_English,0.864573111,0.935,412,66,86.19246862,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Ecuador,Latin America,Not_English,0,0.758,4,0,100,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Egypt,Africa,Not_English,0.337279125,0.696,31,0,100,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Egypt,Africa,Not_English,0.337279125,0.696,20,0,100,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Estonia,Europe,Not_English,0.537902564,0.881,2,0,100,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Estonia,Europe,Not_English,0.537902564,0.881,21,0,100,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Ethiopia,Africa,Not_English,0.002237193,0.467,2,0,100,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Ethiopia,Africa,Not_English,0.002237193,0.467,5,0,100,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Finland,Europe,Not_English,0.702891326,0.932,284,25,91.90938511,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Finland,Europe,Not_English,0.702891326,0.932,28,0,100,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,France,Europe,Not_English,0.406987724,0.894,2227,231,90.60211554,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,France,Europe,Not_English,0.406987724,0.894,218,5,97.75784753,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Gambia,Africa,English,0.031140769,0.475,1,0,100,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Georgia,Asia,Not_English,0,0.792,1,0,100,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Georgia,Asia,Not_English,0,0.792,4,0,100,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Germany,Europe,Not_English,0.586791396,0.941,258,7,97.35849057,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Germany,Europe,Not_English,0.586791396,0.941,3936,487,88.98937373,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Ghana,Africa,English,0.399062748,0.598,1,0,100,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Greece,Europe,Not_English,0.521860412,0.874,103,4,96.26168224,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Greece,Europe,Not_English,0.521860412,0.874,10,1,90.90909091,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Guyana,Latin America,English,0.955662463,0.676,3,0,100,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Hong Kong,Asia,English,0.517248014,0.936,317,22,93.51032448,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Hong Kong,Asia,English,0.517248014,0.936,69,1,98.57142857,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Hungary,Europe,Not_English,0.204701273,0.844,143,6,95.97315436,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Hungary,Europe,Not_English,0.204701273,0.844,16,0,100,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Iceland,Europe,Not_English,0.858428325,0.941,31,7,81.57894737,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,India,Asia,English,0.200031182,0.63,414,4,99.0430622,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,India,Asia,English,0.200031182,0.63,884,13,98.55072464,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Indonesia,Asia,Not_English,0.000127328,0.703,11,0,100,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Indonesia,Asia,Not_English,0.000127328,0.703,6,0,100,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Iran,Asia,Not_English,0,0.784,84,0,100,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Iran,Asia,Not_English,0,0.784,60,0,100,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Iraq,Asia,Not_English,0.362812882,0.656,3,0,100,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Iraq,Asia,Not_English,0.362812882,0.656,5,0,100,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Ireland,Europe,English,0.987103175,0.943,147,9,94.23076923,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Ireland,Europe,English,0.987103175,0.943,14,0,100,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Israel,Asia,Not_English,0.71488881,0.913,59,1,98.33333333,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Israel,Asia,Not_English,0.71488881,0.913,749,69,91.56479218,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Italy,Europe,Not_English,0.3503861,0.884,1137,70,94.2004971,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Italy,Europe,Not_English,0.3503861,0.884,101,2,98.05825243,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Jamaica,North America,English,0.994424661,0.731,1,0,100,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Japan,Asia,Not_English,0.087429058,0.912,669,16,97.66423358,Double,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Japan,Asia,Not_English,0.087429058,0.912,3625,257,93.37970118,Single,Optional_double,2016,Broad,Broad,20.37376471,Overall decision,"This is from the subset of Nature portfolio journals that the author sent us data for. The journals offer optional double-blind, so the same journal can have single- or double-blind submissions. "
