Study,Study type,Author position,Demographic,Demographic.category,Total manuscripts,N.revisions,Blinding.format,Blinding type,Year,Category,Subcategory,Journal impact factor,Stage,Notes
Squazzoni et al. (2021),Observational,First,Gender,Male,124,0.830645161,Double,NA,2013,Health sciences,Health sciences,4,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,116,0.844827586,Double,NA,2013,Health sciences,Health sciences,5,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,5101,0.714173691,Double,NA,2013,Health sciences,Health sciences,1,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,10810,0.388344126,Double,NA,2013,Health sciences,Health sciences,2,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,1485,0.713804714,Double,NA,2013,Health sciences,Health sciences,3,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,146,0.808219178,Double,NA,2013,Health sciences,Health sciences,4,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,116,0.862068966,Double,NA,2013,Health sciences,Health sciences,5,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,1854,0.9201726,Single,NA,2013,Health sciences,Health sciences,1,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,9854,0.577531967,Single,NA,2013,Health sciences,Health sciences,2,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,7247,0.773561474,Single,NA,2013,Health sciences,Health sciences,3,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,11617,0.690023242,Single,NA,2013,Health sciences,Health sciences,4,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,4184,0.671845124,Single,NA,2013,Health sciences,Health sciences,5,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,3094,0.531027796,Single,NA,2013,Health sciences,Health sciences,6,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,1607,0.456129434,Single,NA,2013,Health sciences,Health sciences,7,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,2231,0.939937248,Single,NA,2013,Health sciences,Health sciences,1,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,11059,0.600777647,Single,NA,2013,Health sciences,Health sciences,2,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,8519,0.781899284,Single,NA,2013,Health sciences,Health sciences,3,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,13286,0.68914647,Single,NA,2013,Health sciences,Health sciences,4,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,4716,0.675360475,Single,NA,2013,Health sciences,Health sciences,5,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,3315,0.539064857,Single,NA,2013,Health sciences,Health sciences,6,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,1544,0.448186528,Single,NA,2013,Health sciences,Health sciences,7,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,384,0.903645833,Double,NA,2013,Life sciences,Life sciences,2,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,948,0.891350211,Double,NA,2013,Life sciences,Life sciences,3,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,139,0.776978417,Double,NA,2013,Life sciences,Life sciences,4,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,310,0.796774194,Double,NA,2013,Life sciences,Life sciences,5,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,146,0.753424658,Double,NA,2013,Life sciences,Life sciences,6,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,179,1.43575419,Double,NA,2013,Life sciences,Life sciences,7,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,327,0.914373089,Double,NA,2013,Life sciences,Life sciences,2,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,815,0.898159509,Double,NA,2013,Life sciences,Life sciences,3,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,60,0.783333333,Double,NA,2013,Life sciences,Life sciences,4,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,144,0.715277778,Double,NA,2013,Life sciences,Life sciences,5,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,71,0.76056338,Double,NA,2013,Life sciences,Life sciences,6,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,91,1.428571429,Double,NA,2013,Life sciences,Life sciences,7,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,1181,0.734970364,Single,NA,2013,Life sciences,Life sciences,1,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,2178,0.788797062,Single,NA,2013,Life sciences,Life sciences,2,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,1960,0.934183673,Single,NA,2013,Life sciences,Life sciences,3,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,924,0.821428571,Single,NA,2013,Life sciences,Life sciences,4,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,1464,0.949453552,Single,NA,2013,Life sciences,Life sciences,5,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,684,0.840643275,Single,NA,2013,Life sciences,Life sciences,6,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,95,1.147368421,Single,NA,2013,Life sciences,Life sciences,7,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,95,0.810526316,Single,NA,2013,Life sciences,Life sciences,8,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,763,0.762778506,Single,NA,2013,Life sciences,Life sciences,1,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,1532,0.765665796,Single,NA,2013,Life sciences,Life sciences,2,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,1340,0.879850746,Single,NA,2013,Life sciences,Life sciences,3,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,676,0.809171598,Single,NA,2013,Life sciences,Life sciences,4,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,875,0.950857143,Single,NA,2013,Life sciences,Life sciences,5,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,511,0.849315068,Single,NA,2013,Life sciences,Life sciences,6,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,67,1.388059701,Single,NA,2013,Life sciences,Life sciences,7,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,44,0.704545455,Single,NA,2013,Life sciences,Life sciences,8,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,530,0.839622642,Double,NA,2013,Life sciences,Life sciences,2,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,1135,0.897797357,Double,NA,2013,Life sciences,Life sciences,3,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,162,0.648148148,Double,NA,2013,Life sciences,Life sciences,4,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,514,0.832684825,Double,NA,2013,Life sciences,Life sciences,5,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,247,0.680161943,Double,NA,2013,Life sciences,Life sciences,6,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,351,1.438746439,Double,NA,2013,Life sciences,Life sciences,7,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,563,0.861456483,Double,NA,2013,Life sciences,Life sciences,2,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,1224,0.869281046,Double,NA,2013,Life sciences,Life sciences,3,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,239,0.715481172,Double,NA,2013,Life sciences,Life sciences,4,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,672,0.836309524,Double,NA,2013,Life sciences,Life sciences,5,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,310,0.696774194,Double,NA,2013,Life sciences,Life sciences,6,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,434,1.444700461,Double,NA,2013,Life sciences,Life sciences,7,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,2342,0.745516652,Single,NA,2013,Life sciences,Life sciences,1,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,3790,0.794986807,Single,NA,2013,Life sciences,Life sciences,2,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,3308,0.883615478,Single,NA,2013,Life sciences,Life sciences,3,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,1143,0.838145232,Single,NA,2013,Life sciences,Life sciences,4,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,1691,0.998225902,Single,NA,2013,Life sciences,Life sciences,5,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,624,0.84775641,Single,NA,2013,Life sciences,Life sciences,6,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,105,1.380952381,Single,NA,2013,Life sciences,Life sciences,7,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,120,0.658333333,Single,NA,2013,Life sciences,Life sciences,8,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,2474,0.752627324,Single,NA,2013,Life sciences,Life sciences,1,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,4126,0.824769753,Single,NA,2013,Life sciences,Life sciences,2,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,3772,0.923382821,Single,NA,2013,Life sciences,Life sciences,3,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,1365,0.834432234,Single,NA,2013,Life sciences,Life sciences,4,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,2164,0.99168207,Single,NA,2013,Life sciences,Life sciences,5,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,756,0.835978836,Single,NA,2013,Life sciences,Life sciences,6,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,141,1.24822695,Single,NA,2013,Life sciences,Life sciences,7,Number of revisions,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,155,0.883870968,Single,NA,2013,Life sciences,Life sciences,8,Number of revisions,Unclear if journals included have optional or mandatory double-blind
