Study,Study type,Author position,Demographic,Demographic.category,Rejected,Went through to next stage,% rejected,Blinding format,Blinding,Year,Category,Subcategory,Journal impact factor,Stage,Notes
Squazzoni et al. (2021),Observational,Last,Gender,Male,979,565,63.40673575,Single,NA,2013,Health sciences,Health sciences,7,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,955,899,51.51024811,Single,NA,2013,Health sciences,Health sciences,1,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,6205,3649,62.96935255,Single,NA,2013,Health sciences,Health sciences,2,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,3633,3614,50.13108873,Single,NA,2013,Health sciences,Health sciences,3,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,6674,4943,57.45028837,Single,NA,2013,Health sciences,Health sciences,4,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,2185,1999,52.22275335,Single,NA,2013,Health sciences,Health sciences,5,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,1679,1415,54.26632191,Single,NA,2013,Health sciences,Health sciences,6,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,1008,599,62.72557561,Single,NA,2013,Health sciences,Health sciences,7,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,418,345,54.78374836,Single,NA,2013,Life sciences,Life sciences,1,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,674,858,43.99477807,Single,NA,2013,Life sciences,Life sciences,2,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,616,724,45.97014925,Single,NA,2013,Life sciences,Life sciences,3,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,377,299,55.76923077,Single,NA,2013,Life sciences,Life sciences,4,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,433,442,49.48571429,Single,NA,2013,Life sciences,Life sciences,5,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,289,222,56.55577299,Single,NA,2013,Life sciences,Life sciences,6,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,30,37,44.7761194,Single,NA,2013,Life sciences,Life sciences,7,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,34,10,77.27272727,Single,NA,2013,Life sciences,Life sciences,8,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,659,522,55.80016935,Single,NA,2013,Life sciences,Life sciences,1,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,930,1248,42.69972452,Single,NA,2013,Life sciences,Life sciences,2,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,881,1079,44.94897959,Single,NA,2013,Life sciences,Life sciences,3,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,520,404,56.27705628,Single,NA,2013,Life sciences,Life sciences,4,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,729,735,49.79508197,Single,NA,2013,Life sciences,Life sciences,5,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,393,291,57.45614035,Single,NA,2013,Life sciences,Life sciences,6,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,48,47,50.52631579,Single,NA,2013,Life sciences,Life sciences,7,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,72,23,75.78947368,Single,NA,2013,Life sciences,Life sciences,8,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,1329,1145,53.71867421,Single,NA,2013,Life sciences,Life sciences,1,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,1664,2462,40.32961706,Single,NA,2013,Life sciences,Life sciences,2,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,1702,2070,45.12195122,Single,NA,2013,Life sciences,Life sciences,3,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,734,631,53.77289377,Single,NA,2013,Life sciences,Life sciences,4,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,1007,1157,46.53419593,Single,NA,2013,Life sciences,Life sciences,5,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,400,356,52.91005291,Single,NA,2013,Life sciences,Life sciences,6,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,62,79,43.97163121,Single,NA,2013,Life sciences,Life sciences,7,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,Last,Gender,Male,109,46,70.32258065,Single,NA,2013,Life sciences,Life sciences,8,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,1290,1052,55.08112724,Single,NA,2013,Life sciences,Life sciences,1,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,1595,2195,42.08443272,Single,NA,2013,Life sciences,Life sciences,2,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,1519,1789,45.91898428,Single,NA,2013,Life sciences,Life sciences,3,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,608,535,53.19335083,Single,NA,2013,Life sciences,Life sciences,4,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,779,912,46.06741573,Single,NA,2013,Life sciences,Life sciences,5,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,319,305,51.12179487,Single,NA,2013,Life sciences,Life sciences,6,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,42,63,40,Single,NA,2013,Life sciences,Life sciences,7,Final decision,Unclear if journals included have optional or mandatory double-blind
Squazzoni et al. (2021),Observational,First,Gender,Male,89,31,74.16666667,Single,NA,2013,Life sciences,Life sciences,8,Final decision,Unclear if journals included have optional or mandatory double-blind
