Study,Study type,Author position,Demographic,Demographic category,Assessor,Reviewer demographic,Rejected,Went through to next stage,% rejected,Year,Category,Subcategory,Journal impact factor,Stage,Notes
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,2407,1983,54.82915718,2013,Health sciences,Health sciences,4,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,773,725,51.60213618,2013,Health sciences,Health sciences,5,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,420,356,54.12371134,2013,Health sciences,Health sciences,6,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,248,148,62.62626263,2013,Health sciences,Health sciences,7,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,202,185,52.19638243,2013,Life sciences,Life sciences,1,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,302,409,42.47538678,2013,Life sciences,Life sciences,2,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,323,455,41.51670951,2013,Life sciences,Life sciences,3,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,260,209,55.43710021,2013,Life sciences,Life sciences,4,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,378,361,51.15020298,2013,Life sciences,Life sciences,5,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,221,166,57.10594315,2013,Life sciences,Life sciences,6,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,28,29,49.12280702,2013,Life sciences,Life sciences,7,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,24,7,77.41935484,2013,Life sciences,Life sciences,8,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,356,335,51.5195369,2013,Life sciences,Life sciences,1,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,403,611,39.74358974,2013,Life sciences,Life sciences,2,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,466,622,42.83088235,2013,Life sciences,Life sciences,3,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,256,237,51.92697769,2013,Life sciences,Life sciences,4,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,339,390,46.50205761,2013,Life sciences,Life sciences,5,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,171,155,52.45398773,2013,Life sciences,Life sciences,6,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,25,36,40.98360656,2013,Life sciences,Life sciences,7,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,32,6,84.21052632,2013,Life sciences,Life sciences,8,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,321,369,46.52173913,2013,Health sciences,Health sciences,1,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,2125,1431,59.75815523,2013,Health sciences,Health sciences,2,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,1403,1312,51.67587477,2013,Health sciences,Health sciences,3,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,2876,1891,60.33144535,2013,Health sciences,Health sciences,4,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,740,703,51.28205128,2013,Health sciences,Health sciences,5,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,515,416,55.31686359,2013,Health sciences,Health sciences,6,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,241,140,63.25459318,2013,Health sciences,Health sciences,7,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,515,449,53.42323651,2013,Health sciences,Health sciences,1,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,4193,2325,64.32954894,2013,Health sciences,Health sciences,2,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,2362,2331,50.33027914,2013,Health sciences,Health sciences,3,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,4110,2851,59.04324091,2013,Health sciences,Health sciences,4,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,1329,1207,52.40536278,2013,Health sciences,Health sciences,5,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,1122,972,53.58166189,2013,Health sciences,Health sciences,6,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,716,425,62.75197195,2013,Health sciences,Health sciences,7,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,340,277,55.10534846,2013,Life sciences,Life sciences,1,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,531,718,42.51401121,2013,Life sciences,Life sciences,2,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,526,597,46.83882458,2013,Life sciences,Life sciences,3,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,255,191,57.17488789,2013,Life sciences,Life sciences,4,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,341,368,48.09590973,2013,Life sciences,Life sciences,5,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,168,124,57.53424658,2013,Life sciences,Life sciences,6,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,19,18,51.35135135,2013,Life sciences,Life sciences,7,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,37,15,71.15384615,2013,Life sciences,Life sciences,8,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,728,602,54.73684211,2013,Life sciences,Life sciences,1,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,1004,1403,41.71167428,2013,Life sciences,Life sciences,2,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,998,1099,47.59179781,2013,Life sciences,Life sciences,3,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,348,292,54.375,2013,Life sciences,Life sciences,4,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,435,515,45.78947368,2013,Life sciences,Life sciences,5,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,142,144,49.65034965,2013,Life sciences,Life sciences,6,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,17,25,40.47619048,2013,Life sciences,Life sciences,7,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,47,22,68.11594203,2013,Life sciences,Life sciences,8,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,238,274,46.484375,2013,Health sciences,Health sciences,1,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,1033,712,59.19770774,2013,Health sciences,Health sciences,2,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,680,696,49.41860465,2013,Health sciences,Health sciences,3,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,2217,1833,54.74074074,2013,Health sciences,Health sciences,4,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,479,474,50.26232949,2013,Health sciences,Health sciences,5,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,203,170,54.42359249,2013,Health sciences,Health sciences,6,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,75,50,60,2013,Health sciences,Health sciences,7,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,433,507,46.06382979,2013,Health sciences,Health sciences,1,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,1999,1374,59.26474948,2013,Health sciences,Health sciences,2,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,1387,1466,48.61549246,2013,Health sciences,Health sciences,3,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,2830,2454,53.55791067,2013,Health sciences,Health sciences,4,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,903,835,51.95627158,2013,Health sciences,Health sciences,5,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,461,386,54.42739079,2013,Health sciences,Health sciences,6,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,223,132,62.81690141,2013,Health sciences,Health sciences,7,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,115,132,46.55870445,2013,Life sciences,Life sciences,1,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,199,290,40.69529652,2013,Life sciences,Life sciences,2,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
