Study,Study type,Author position,Demographic,Demographic category,Assessor,Reviewer demographic,Rejected,Went through to next stage,% rejected,Year,Category,Subcategory,Journal impact factor,Stage,Notes
Edwards et al. (2018),Observational,First,Gender_2,Z_Female,Reviewer,All Male,130,277,31.94103194,2014,Life sciences,Ecology & Evolution,3.232,Post initial review,"After going back through the paper and doing some summary checks of the data against the paper totals, this corresponds to the First.Decision column, provided that the articles were sent for review (did not get desk rejected)"
Edwards et al. (2018),Observational,First,Gender_2,Male,Reviewer,All Male,181,440,29.14653784,2014,Life sciences,Ecology & Evolution,3.232,Post initial review,"After going back through the paper and doing some summary checks of the data against the paper totals, this corresponds to the First.Decision column, provided that the articles were sent for review (did not get desk rejected)"
Edwards et al. (2018),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,92,168,35.38461538,2014,Life sciences,Ecology & Evolution,3.232,Post initial review,"After going back through the paper and doing some summary checks of the data against the paper totals, this corresponds to the First.Decision column, provided that the articles were sent for review (did not get desk rejected)"
Edwards et al. (2018),Observational,Last,Gender_2,Male,Reviewer,1+ Female,237,474,33.33333333,2014,Life sciences,Ecology & Evolution,3.232,Post initial review,"After going back through the paper and doing some summary checks of the data against the paper totals, this corresponds to the First.Decision column, provided that the articles were sent for review (did not get desk rejected)"
Edwards et al. (2018),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,97,174,35.79335793,2014,Life sciences,Ecology & Evolution,3.232,Post initial review,"After going back through the paper and doing some summary checks of the data against the paper totals, this corresponds to the First.Decision column, provided that the articles were sent for review (did not get desk rejected)"
Edwards et al. (2018),Observational,Last,Gender_2,Male,Reviewer,All Male,297,650,31.36219641,2014,Life sciences,Ecology & Evolution,3.232,Post initial review,"After going back through the paper and doing some summary checks of the data against the paper totals, this corresponds to the First.Decision column, provided that the articles were sent for review (did not get desk rejected)"
Fox et al. (2016),Observational,Corresponding,Gender_2,Male,Reviewer,1+ Female,342,158,68.4,2012,Life sciences,Ecology & Evolution,4.861,Post initial review,
Fox et al. (2016),Observational,Corresponding,Gender_2,Z_Female,Reviewer,1+ Female,236,98,70.65868263,2012,Life sciences,Ecology & Evolution,4.861,Post initial review,
Fox et al. (2016),Observational,Corresponding,Gender_2,Male,Reviewer,All Male,378,181,67.62075134,2012,Life sciences,Ecology & Evolution,4.861,Post initial review,
Fox et al. (2016),Observational,Corresponding,Gender_2,Z_Female,Reviewer,All Male,208,84,71.23287671,2012,Life sciences,Ecology & Evolution,4.861,Post initial review,
Fox et al. (2016),Observational,First,Gender_2,Male,Reviewer,1+ Female,325,159,67.14876033,2012,Life sciences,Ecology & Evolution,4.861,Post initial review,
Fox et al. (2016),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,276,113,70.95115681,2012,Life sciences,Ecology & Evolution,4.861,Post initial review,
Fox et al. (2016),Observational,First,Gender_2,Male,Reviewer,All Male,354,163,68.47195358,2012,Life sciences,Ecology & Evolution,4.861,Post initial review,
Fox et al. (2016),Observational,First,Gender_2,Z_Female,Reviewer,All Male,250,111,69.25207756,2012,Life sciences,Ecology & Evolution,4.861,Post initial review,
Fox et al. (2016),Observational,Last,Gender_2,Male,Reviewer,1+ Female,442,208,68,2012,Life sciences,Ecology & Evolution,4.861,Post initial review,
Fox et al. (2016),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,148,59,71.49758454,2012,Life sciences,Ecology & Evolution,4.861,Post initial review,
Fox et al. (2016),Observational,Last,Gender_2,Male,Reviewer,All Male,473,214,68.85007278,2012,Life sciences,Ecology & Evolution,4.861,Post initial review,
Fox et al. (2016),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,127,52,70.94972067,2012,Life sciences,Ecology & Evolution,4.861,Post initial review,
Goldstone et al. (2020),Observational,First,Gender_1,Male,Reviewer,Z_Female,48,59,44.85981308,2016.5,Health sciences,Health sciences,2.845,Post-review decision,
Goldstone et al. (2020),Observational,First,Gender_1,Z_Female,Reviewer,Z_Female,132,145,47.6534296,2016.5,Health sciences,Health sciences,2.845,Post-review decision,
Goldstone et al. (2020),Observational,First,Gender_1,Male,Reviewer,Male,249,254,49.50298211,2016.5,Health sciences,Health sciences,2.845,Post-review decision,
Goldstone et al. (2020),Observational,First,Gender_1,Z_Female,Reviewer,Male,37,30,55.2238806,2016.5,Health sciences,Health sciences,2.845,Post-review decision,
Lane and Linden (2009),Observational,First,Gender_1,Male,Reviewer,Z_Female,58,110,34.52380952,2007,Health sciences,Health sciences,3.684,Post initial review,
Lane and Linden (2009),Observational,First,Gender_1,Z_Female,Reviewer,Z_Female,42,44,48.8372093,2007,Health sciences,Health sciences,3.684,Post initial review,
Lane and Linden (2009),Observational,First,Gender_1,Male,Reviewer,Male,390,692,36.04436229,2007,Health sciences,Health sciences,3.684,Post initial review,
Lane and Linden (2009),Observational,First,Gender_1,Z_Female,Reviewer,Male,145,236,38.05774278,2007,Health sciences,Health sciences,3.684,Post initial review,
Lane and Linden (2009),Observational,Last,Gender_1,Male,Reviewer,Z_Female,79,133,37.26415094,2007,Health sciences,Health sciences,3.684,Post initial review,
Lane and Linden (2009),Observational,Last,Gender_1,Z_Female,Reviewer,Z_Female,21,21,50,2007,Health sciences,Health sciences,3.684,Post initial review,
Lane and Linden (2009),Observational,Last,Gender_1,Male,Reviewer,Male,427,778,35.43568465,2007,Health sciences,Health sciences,3.684,Post initial review,
Lane and Linden (2009),Observational,Last,Gender_1,Z_Female,Reviewer,Male,108,150,41.86046512,2007,Health sciences,Health sciences,3.684,Post initial review,
Lane and Linden (2009),Observational,First,Gender_2,Male,Reviewer,1+ Female,54,93,36.73469388,2007,Health sciences,Health sciences,3.684,Post initial review,
Lane and Linden (2009),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,34,34,50,2007,Health sciences,Health sciences,3.684,Post initial review,
Lane and Linden (2009),Observational,First,Gender_2,Male,Reviewer,All Male,130,240,35.13513514,2007,Health sciences,Health sciences,3.684,Post initial review,
Lane and Linden (2009),Observational,First,Gender_2,Z_Female,Reviewer,All Male,39,82,32.23140496,2007,Health sciences,Health sciences,3.684,Post initial review,
Lane and Linden (2009),Observational,Last,Gender_2,Male,Reviewer,1+ Female,67,108,38.28571429,2007,Health sciences,Health sciences,3.684,Post initial review,
Lane and Linden (2009),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,21,19,52.5,2007,Health sciences,Health sciences,3.684,Post initial review,
Lane and Linden (2009),Observational,Last,Gender_2,Male,Reviewer,All Male,140,271,34.06326034,2007,Health sciences,Health sciences,3.684,Post initial review,
Lane and Linden (2009),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,29,51,36.25,2007,Health sciences,Health sciences,3.684,Post initial review,
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,261,493,34.61538462,2013,Health sciences,Health sciences,1,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,1070,1228,46.56222802,2013,Health sciences,Health sciences,2,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,795,1254,38.79941435,2013,Health sciences,Health sciences,3,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,2473,2718,47.64014641,2013,Health sciences,Health sciences,4,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,561,753,42.69406393,2013,Health sciences,Health sciences,5,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,186,286,39.40677966,2013,Health sciences,Health sciences,6,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,49,79,38.28125,2013,Health sciences,Health sciences,7,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,253,506,33.33333333,2013,Health sciences,Health sciences,1,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,1483,1443,50.683527,2013,Health sciences,Health sciences,2,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,869,1406,38.1978022,2013,Health sciences,Health sciences,3,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,2124,2266,48.38268793,2013,Health sciences,Health sciences,4,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,626,872,41.78905207,2013,Health sciences,Health sciences,5,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,293,483,37.75773196,2013,Health sciences,Health sciences,6,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,148,248,37.37373737,2013,Health sciences,Health sciences,7,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,158,229,40.82687339,2013,Life sciences,Life sciences,1,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,191,520,26.86357243,2013,Life sciences,Life sciences,2,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,217,561,27.89203085,2013,Life sciences,Life sciences,3,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,177,292,37.73987207,2013,Life sciences,Life sciences,4,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,249,490,33.69418133,2013,Life sciences,Life sciences,5,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,181,206,46.77002584,2013,Life sciences,Life sciences,6,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,25,32,43.85964912,2013,Life sciences,Life sciences,7,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,20,11,64.51612903,2013,Life sciences,Life sciences,8,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,227,464,32.85094067,2013,Life sciences,Life sciences,1,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,268,746,26.42998028,2013,Life sciences,Life sciences,2,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,305,783,28.03308824,2013,Life sciences,Life sciences,3,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,171,322,34.68559838,2013,Life sciences,Life sciences,4,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,229,500,31.41289438,2013,Life sciences,Life sciences,5,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,150,176,46.01226994,2013,Life sciences,Life sciences,6,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,21,40,34.42622951,2013,Life sciences,Life sciences,7,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,19,19,50,2013,Life sciences,Life sciences,8,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,258,432,37.39130435,2013,Health sciences,Health sciences,1,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,1819,1737,51.15298088,2013,Health sciences,Health sciences,2,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,1134,1581,41.7679558,2013,Health sciences,Health sciences,3,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,2550,2217,53.49276274,2013,Health sciences,Health sciences,4,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,589,854,40.81774082,2013,Health sciences,Health sciences,5,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,374,557,40.17185822,2013,Health sciences,Health sciences,6,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,167,214,43.832021,2013,Health sciences,Health sciences,7,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,401,563,41.59751037,2013,Health sciences,Health sciences,1,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,3637,2881,55.79932495,2013,Health sciences,Health sciences,2,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,1822,2871,38.8237801,2013,Health sciences,Health sciences,3,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,3629,3332,52.13331418,2013,Health sciences,Health sciences,4,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,1084,1452,42.7444795,2013,Health sciences,Health sciences,5,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,785,1309,37.48806113,2013,Health sciences,Health sciences,6,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,466,675,40.84136722,2013,Health sciences,Health sciences,7,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,266,351,43.11183144,2013,Life sciences,Life sciences,1,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,389,860,31.14491593,2013,Life sciences,Life sciences,2,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,362,761,32.23508459,2013,Life sciences,Life sciences,3,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,172,274,38.56502242,2013,Life sciences,Life sciences,4,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,257,452,36.24823695,2013,Life sciences,Life sciences,5,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,130,162,44.52054795,2013,Life sciences,Life sciences,6,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,15,22,40.54054054,2013,Life sciences,Life sciences,7,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,21,31,40.38461538,2013,Life sciences,Life sciences,8,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,546,784,41.05263158,2013,Life sciences,Life sciences,1,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,684,1723,28.41711674,2013,Life sciences,Life sciences,2,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,690,1407,32.90414878,2013,Life sciences,Life sciences,3,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,244,396,38.125,2013,Life sciences,Life sciences,4,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,288,662,30.31578947,2013,Life sciences,Life sciences,5,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,107,179,37.41258741,2013,Life sciences,Life sciences,6,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,13,29,30.95238095,2013,Life sciences,Life sciences,7,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,27,42,39.13043478,2013,Life sciences,Life sciences,8,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,168,344,32.8125,2013,Health sciences,Health sciences,1,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,859,886,49.22636103,2013,Health sciences,Health sciences,2,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,527,849,38.2994186,2013,Health sciences,Health sciences,3,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,1966,2084,48.54320988,2013,Health sciences,Health sciences,4,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
