Study,Study type,Author position,Demographic,Demographic category,Assessor,Reviewer demographic,Reviewer ordinal scores,Min value,Max value,Reviewer_rescaled,Total manuscripts,Accept,Minor revision,Major revision,Reject with invitation to resubmit,Reject,Year,Category,Subcategory,Journal impact factor,Stage,Notes
Fox et al. (2016),Observational,First,Gender_2,Male,Reviewer,1+ Female,2.482438017,1,4,0.494146006,484,NA,NA,NA,NA,NA,2012,Life sciences,Ecology & Evolution,4.861,Reviewer scores,"The coding doesn't fit well in the labels we created to use across diverse studies. Functional Ecology changed their scoring system between the first two years and last two years. 2010-2011: 1 = accept following minor revision, 2 = requires major revision, 3 = reject because not important or general enough for Functional Ecology, 4 = reject because quality of data or manuscript not adequate for Functional Ecology. 2012-2014: changed to be descriptive of 1 = novel in top 10% of papers in ecology, 2 = strong contribution to the field of ecology, 3 = solid work but confirmatory, and 4 = weak or flawed and not of enough importance/general interest for Functional Ecology. These rows of data use the study's full Dryad archive that provides the proportion reviewers that are female"
Fox et al. (2016),Observational,First,Gender_2,Z_Female,Reviewer,All Male,2.615420129,1,4,0.538473376,361,NA,NA,NA,NA,NA,2012,Life sciences,Ecology & Evolution,4.861,Reviewer scores,"The coding doesn't fit well in the labels we created to use across diverse studies. Functional Ecology changed their scoring system between the first two years and last two years. 2010-2011: 1 = accept following minor revision, 2 = requires major revision, 3 = reject because not important or general enough for Functional Ecology, 4 = reject because quality of data or manuscript not adequate for Functional Ecology. 2012-2014: changed to be descriptive of 1 = novel in top 10% of papers in ecology, 2 = strong contribution to the field of ecology, 3 = solid work but confirmatory, and 4 = weak or flawed and not of enough importance/general interest for Functional Ecology. These rows of data use the study's full Dryad archive that provides the proportion reviewers that are female"
Fox et al. (2016),Observational,First,Gender_2,Male,Reviewer,All Male,2.52724049,1,4,0.509080163,517,NA,NA,NA,NA,NA,2012,Life sciences,Ecology & Evolution,4.861,Reviewer scores,"The coding doesn't fit well in the labels we created to use across diverse studies. Functional Ecology changed their scoring system between the first two years and last two years. 2010-2011: 1 = accept following minor revision, 2 = requires major revision, 3 = reject because not important or general enough for Functional Ecology, 4 = reject because quality of data or manuscript not adequate for Functional Ecology. 2012-2014: changed to be descriptive of 1 = novel in top 10% of papers in ecology, 2 = strong contribution to the field of ecology, 3 = solid work but confirmatory, and 4 = weak or flawed and not of enough importance/general interest for Functional Ecology. These rows of data use the study's full Dryad archive that provides the proportion reviewers that are female"
Fox et al. (2016),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,2.551529791,1,4,0.517176597,207,NA,NA,NA,NA,NA,2012,Life sciences,Ecology & Evolution,4.861,Reviewer scores,"The coding doesn't fit well in the labels we created to use across diverse studies. Functional Ecology changed their scoring system between the first two years and last two years. 2010-2011: 1 = accept following minor revision, 2 = requires major revision, 3 = reject because not important or general enough for Functional Ecology, 4 = reject because quality of data or manuscript not adequate for Functional Ecology. 2012-2014: changed to be descriptive of 1 = novel in top 10% of papers in ecology, 2 = strong contribution to the field of ecology, 3 = solid work but confirmatory, and 4 = weak or flawed and not of enough importance/general interest for Functional Ecology. These rows of data use the study's full Dryad archive that provides the proportion reviewers that are female"
Fox et al. (2016),Observational,Last,Gender_2,Male,Reviewer,1+ Female,2.478589744,1,4,0.492863248,650,NA,NA,NA,NA,NA,2012,Life sciences,Ecology & Evolution,4.861,Reviewer scores,"The coding doesn't fit well in the labels we created to use across diverse studies. Functional Ecology changed their scoring system between the first two years and last two years. 2010-2011: 1 = accept following minor revision, 2 = requires major revision, 3 = reject because not important or general enough for Functional Ecology, 4 = reject because quality of data or manuscript not adequate for Functional Ecology. 2012-2014: changed to be descriptive of 1 = novel in top 10% of papers in ecology, 2 = strong contribution to the field of ecology, 3 = solid work but confirmatory, and 4 = weak or flawed and not of enough importance/general interest for Functional Ecology. These rows of data use the study's full Dryad archive that provides the proportion reviewers that are female"
Fox et al. (2016),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,2.587523277,1,4,0.529174426,179,NA,NA,NA,NA,NA,2012,Life sciences,Ecology & Evolution,4.861,Reviewer scores,"The coding doesn't fit well in the labels we created to use across diverse studies. Functional Ecology changed their scoring system between the first two years and last two years. 2010-2011: 1 = accept following minor revision, 2 = requires major revision, 3 = reject because not important or general enough for Functional Ecology, 4 = reject because quality of data or manuscript not adequate for Functional Ecology. 2012-2014: changed to be descriptive of 1 = novel in top 10% of papers in ecology, 2 = strong contribution to the field of ecology, 3 = solid work but confirmatory, and 4 = weak or flawed and not of enough importance/general interest for Functional Ecology. These rows of data use the study's full Dryad archive that provides the proportion reviewers that are female"
Fox et al. (2016),Observational,Last,Gender_2,Male,Reviewer,All Male,2.569990296,1,4,0.523330099,687,NA,NA,NA,NA,NA,2012,Life sciences,Ecology & Evolution,4.861,Reviewer scores,"The coding doesn't fit well in the labels we created to use across diverse studies. Functional Ecology changed their scoring system between the first two years and last two years. 2010-2011: 1 = accept following minor revision, 2 = requires major revision, 3 = reject because not important or general enough for Functional Ecology, 4 = reject because quality of data or manuscript not adequate for Functional Ecology. 2012-2014: changed to be descriptive of 1 = novel in top 10% of papers in ecology, 2 = strong contribution to the field of ecology, 3 = solid work but confirmatory, and 4 = weak or flawed and not of enough importance/general interest for Functional Ecology. These rows of data use the study's full Dryad archive that provides the proportion reviewers that are female"
Gilbert et al. (1994),Observational,Corresponding,Gender_1,Z_Female,Reviewer,Z_Female,2.69058296,1,4,0.563527653,223,13,87,79,NA,44,1991,Health sciences,Health sciences,5.168,Reviewer scores,"The study uses the labelling scheme ""accept as is,"" ""accept if suitably revised,"" ""revise and reconsider,"" ""reject"""
Gilbert et al. (1994),Observational,Corresponding,Gender_1,Male,Reviewer,Z_Female,2.711805556,1,4,0.570601852,576,34,225,190,NA,127,1991,Health sciences,Health sciences,5.168,Reviewer scores,"The study uses the labelling scheme ""accept as is,"" ""accept if suitably revised,"" ""revise and reconsider,"" ""reject"""
Gilbert et al. (1994),Observational,Corresponding,Gender_1,Z_Female,Reviewer,Male,2.884086444,1,4,0.628028815,509,44,160,116,NA,189,1991,Health sciences,Health sciences,5.168,Reviewer scores,"The study uses the labelling scheme ""accept as is,"" ""accept if suitably revised,"" ""revise and reconsider,"" ""reject"""
Gilbert et al. (1994),Observational,Corresponding,Gender_1,Male,Reviewer,Male,2.763822115,1,4,0.587940705,1664,185,559,384,NA,536,1991,Health sciences,Health sciences,5.168,Reviewer scores,"The study uses the labelling scheme ""accept as is,"" ""accept if suitably revised,"" ""revise and reconsider,"" ""reject"""
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,0.602374254,0,1,0.602374254,754,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,1,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,0.664237366,0,1,0.664237366,2298,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,0.639257466,0,1,0.639257466,2049,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,0.646754693,0,1,0.646754693,5191,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,0.637966007,0,1,0.637966007,1314,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,0.629095868,0,1,0.629095868,472,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,6,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,0.616939396,0,1,0.616939396,128,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,7,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,0.606965408,0,1,0.606965408,387,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,1,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,0.602454337,0,1,0.602454337,711,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,0.60505038,0,1,0.60505038,778,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,0.66224981,0,1,0.66224981,469,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,0.636664232,0,1,0.636664232,739,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,0.685028235,0,1,0.685028235,387,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,6,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
